Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
UG,FT,Transit,Male,1,Other,1,Family,2,0,4,Unknown,65.54975,154.84435000000005,517.41405
UG,FT,Transit,Male,0,Other,0,Family,2,0,5,Unknown,78.52783000000001,170.45036000000002,645.25155
UG,FT,Active,Female,0,Other,0,Roommates,0,0,4,Unknown,2.014925,20.126511999999998,15.20709
Grad,FT,Active,Female,1,Other,0,Roommates,1,0,3,Unknown,1.464106,25.325449,14.598600000000001
Grad,FT,Transit,Male,0,Other,0,Other,0,0,1,Low,29.070829999999997,57.75046700000001,176.15535
Grad,FT,Active,Male,1,Other,1,Other,1,0,2,Low,4.911077,31.749745,33.225285
UG,FT,Transit,Female,0,PT,0,Family,0,0,5,Low,34.2549,126.64475300000001,435.43215000000004
UG,FT,Auto,Female,1,Other,0,Family,2,0,4,Unknown,74.63322,201.73118,877.0047000000001
Grad,FT,Active,Female,1,Other,1,Other,1,0,2,Unknown,2.014925,20.126511999999998,15.20709
UG,FT,Transit,Male,0,PT,0,Family,1,1,5,Low,12.01931,52.160221,82.95414
UG,FT,Transit,Female,0,Other,0,Family,1,0,5,Unknown,35.24685,100.985733,388.3665
Grad,FT,Active,Female,1,Other,0,Other,0,0,1,Unknown,2.168042,23.855995999999998,19.46616
Other,Other,Active,Female,1,Other,0,Other,2,1,2,Unknown,15.32311,55.670007999999996,101.65329
Grad,FT,Transit,Female,1,Other,0,Other,0,0,2,Low,7.961721000000001,35.038115999999995,50.06562
Grad,FT,Transit,Female,0,Other,0,Other,0,0,2,Low,63.633109999999995,143.43285100000003,472.6422
Grad,FT,Transit,Female,1,Other,0,Other,0,0,1,Low,13.92199,41.453521,83.277195
Grad,FT,Active,Female,1,Other,1,Roommates,0,0,2,Unknown,3.892384,28.438384000000003,39.42108
UG,FT,Active,Female,1,Other,1,Roommates,0,0,4,Unknown,3.068723,25.742024,23.927640000000004
UG,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,4.3501,30.203819,47.27064
UG,FT,Active,Female,1,Other,0,Roommates,0,0,5,Unknown,1.049121,16.675728,10.491209999999999
UG,FT,Active,Male,0,Other,0,Roommates,0,0,3,Unknown,1.464106,25.325449,14.598600000000001
Grad,FT,Transit,Female,1,PT,0,Family,2,1,2,High,49.678020000000004,85.109091,298.2465
Grad,FT,Active,Male,1,Other,0,Family,2,0,3,Unknown,2.776623,26.813798,23.593725
