Mode,Time.Auto,Time.Transit,Time.Active
Active,1.908999,17.573247,19.08999
Active,0,0,0
Active,1.710853,20.776487,15.946485
Active,2.49745,26.741172,26.414505
Auto,3.952706,25.654187,40.859745
Active,1.914187,23.859148,17.990325
Active,2.168042,23.855996,19.46616
Active,4.603065,25.568201,35.36499
Transit,15.91009,71.09103,207.3231
Active,5.499556,35.577191,46.45101
Transit,32.13887,64.417486,208.03875
Transit,13.09236,46.74061,99.652545
Transit,57.64091,131.823943,341.45295
Active,3.320328,31.447038,28.74147
Transit,9.183631,45.941966,124.7355
Active,2.924953,24.128386,16.985265
Active,3.792585,18.826039,22.92405
Transit,46.32949,112.127768,324.19725
Transit,11.14976,53.005176,80.790705
Transit,23.98561,93.776616,342.98775
Transit,44.54497,95.91998,296.0691
Active,2.168042,23.855996,19.46616
Transit,35.7557,79.914492,222.8856
Auto,31.2859,109.024324,275.50905
Active,3.792585,18.826039,22.92405
Active,2.595157,27.40234,23.80503
Transit,99.49899,180.556,1002.5307
Transit,37.96576,83.663925,271.24275
Transit,53.94389,88.37609,402.10215
Transit,48.36213,119.247992,313.60995
Transit,18.206,67.200422,126.93099
Transit,10.91149,42.701539,73.300215
Transit,44.27959,156.278632,436.88745
Auto,35.76352,104.554086,338.0775
Transit,16.10213,35.075044,93.86652
Active,0,0,0
Auto,79.51396,142.466712,533.96415
Transit,86.00294,169.5834,608.30745
Transit,5.530063,33.411738,44.36628
Transit,32.88884,63.186389,204.1701
Transit,4.289724,29.3483,30.6678
Transit,38.61682,99.631286,246.88935
Active,0,0,0
Transit,6.632627,33.425859,41.7591
Transit,0,0,0
Transit,4.58473,33.842064,49.847955
Active,0,0,0
Active,2.924953,24.128386,16.985265
Active,2.649222,20.927781,23.086635
Transit,92.96398,122.503764,827.3922
Transit,13.0839,43.443395,85.07454
Active,1.710853,20.776487,15.946485
Transit,15.91009,71.09103,207.3231
Transit,57.6342,118.236507,376.74375
Active,2.523888,24.493027,28.46901
Transit,19.19235,51.8105,120.050385
Active,11.27827,44.993718,74.18136
Active,1.117177,20.195869,11.10171
Active,11.34923,39.849031,65.27565
Active,2.776623,26.813798,23.593725
Transit,6.472022,36.362017,69.710355
Transit,0,0,0
Active,2.523888,24.493027,28.46901
Transit,89.91993,113.40996,792.99075
Transit,50.17188,155.55117,349.78845
Transit,37.88233,107.074827,410.0736
Transit,13.00131,35.417331,71.57238
Auto,33.10413,104.383208,285.35805
Transit,42.1131,118.398033,281.15745
Transit,9.349833,37.81105,52.35888
Auto,5.793534,26.869722,74.87325
Transit,29.58246,62.974813,181.27155
Transit,14.00681,58.218129,93.221055
Transit,37.73697,90.440035,243.79395
Transit,98.40382,191.70077,811.3719
Transit,28.61972,65.781362,174.55365
Transit,27.33893,112.92883,252.7752
Active,0,0,0
Transit,69.71825,114.92243,529.3863
Transit,9.218005,45.254911,150.7788
Transit,73.77692,167.70801,454.281
Transit,51.47854,104.64487,388.79205
Active,4.289724,29.3483,30.6678
Transit,31.23724,50.903516,187.5885
Transit,26.49993,81.484579,325.0632
Auto,92.35352,136.91229,708.03855
Active,2.649222,20.927781,23.086635
Active,5.576192,29.470396,31.67763
Transit,78.49124,190.577835,489.24735
Auto,16.63026,74.404197,204.2199
Transit,32.57174,69.622366,212.3673
Transit,2.160512,11.333393,22.92318
Active,3.671652,32.570067,47.140125
Transit,7.629183,42.100063,98.670435
Transit,42.15467,121.086447,296.78295
Active,3.599665,21.350601,28.402245
Transit,10.57137,51.113878,105.77124
Transit,13.0839,43.443395,85.07454
Auto,25.88474,109.567737,231.97665
Transit,35.76266,60.89423,221.07705
Transit,2.168042,23.855996,19.46616
Active,2.776623,26.813798,23.593725
Auto,29.16088,117.34191,285.39165
Transit,93.38274,175.21282,867.07305
Transit,18.30487,64.38888,223.7364
