Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist,Zone,Resid_SG,Resid_MI,Resid_OC,Resid_RY,Resid_SC,Resid_YG,Resid_YK
11,,,,,,,,,,,,,,,,,,,,,,,SG,1.300965279,0.231449701,1.535049603,1.53798628,0.355922186,0.694105632,0.335579875,SG,0,0.268352568,0.053439029,3.730208581,1.736765104,0,0.024676388,SG,0.085600264,0.968666625,0.777194616,1.588189645,1.656818523,0.173816973,0.107469212,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,SG,1.300965284,0.231449717,1.535049603,1.537986286,0.355922213,0.694105043,0.335579908,SG,0,0.268352568,0.053439029,3.730208581,1.736765104,0,0.024676388,SG,0.047507708,0.75225697,0.607328411,1.583291462,1.781097881,0.136030675,0.074224286,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,SG,1.304905324,0.232922574,1.539698574,1.542644155,0.325734552,0.660337287,0.336596102,SC,0,0.998772557,0.130888011,9.145702013,0.645895051,0,0.062764586,SG,0,1.72102808,0.374759833,5.108592129,1.114864776,0,0.231218776,,,,,,,,
14,SC,13.67437558,0,0,0,0,0,0,,,,,,,,22.53146853,0,0,0,0,0,0,SG,1.302312017,0.227289529,1.536638668,1.539578375,0.3429408,0.704813876,0.335927077,SC,0,0.998772557,0.130888011,9.145702013,0.645895051,0,0.062764586,SC,0,0.865708626,0.361443801,9.767293266,0.40375811,0.050381731,0.114040931,14,0.454659784,0.012650779,0.055236638,0.400845342,-0.985169641,0.012164035,0.049613062
15,SG,1.243125053,1.571454606,0,2.934100834,0.468066242,0.430435036,0,3.496016771,2.245018848,0,0,0,0,0,0,1.147435897,0,3.54845815,0.847003155,0.741712707,0,SG,1.304519229,0.228851299,1.539768773,1.542187715,0.328654783,0.675453152,0.336379495,SG,0,2.476763368,0.409506606,1.132257645,1.676805674,0,0.387770541,SG,0,2.813941291,0.437575526,1.364686687,1.58036411,0,0.416928149,15,-0.128942599,0.017084721,-0.063417058,0.284203164,-0.083101095,0.009921464,-0.035748598
16,SG,0,1.234714333,0,3.227510917,2.059491466,0,0,,,,,,,,0,0.917948718,0,2.83876652,2.710410095,0,0,SG,1.303828468,0.225124313,1.534349233,1.541371106,0.333844004,0.686118093,0.337459296,SG,0,3.151091294,2.217344092,0,1.164852205,0,0,SG,0,2.948088548,2.126444131,0,1.223981682,0,0,16,0.117226492,0.00781363,-0.064693892,-0.114059312,0.008110759,0.007422603,0.03817972
17,RY,0.546975023,0.790217173,0,2.582008734,2.47138976,0.378782832,0,0,0.841882068,0,9.023809524,1.085677083,1.023821218,0,1.072927073,0.611965812,0,1.351793581,3.549346553,0.282557222,0,SG,1.308834623,0.22336817,1.481731575,1.539467374,0.328931676,0.689257227,0.339231181,RY,0,2.578111605,2.548593959,0.549186671,0.760655082,0,0.364272747,RY,0,2.400318251,2.499866759,0.538495876,0.796728746,0,0.369700339,17,0.21489041,0.012955255,-0.048739777,-0.126187119,-0.030152512,0.00965443,-0.032420687
18,SG,1.414590577,1.106985264,0,1.112934799,1.775423678,0.163268462,1.563570975,1.966509434,1.683764136,0,0,1.085677083,0,2.481547619,0,0.706114398,0,2.183666554,3.127396263,0.456438589,0,SG,1.322871188,0.218928165,1.449898215,1.508866863,0.335290274,0.702581976,0.342869257,SG,0,1.13194387,1.728435823,1.467319757,1.126781131,1.592089961,0.1444986,SG,0,1.125228607,1.703866974,1.407207427,1.141334696,1.536186344,0.166824391,18,0.067954961,0.023208521,0.004120447,-0.047456604,-0.079181735,-0.021485297,0.052839706
19,RY,1.709296947,0.617357167,0,0,2.574364333,0.591848174,0,5.244025157,1.683764136,0,0,0,0,0,0,0.305982906,0,0,4.517350158,0.988950276,0,SG,1.336795289,0.215833463,1.402304952,1.486368056,0.319624527,0.689666816,0.351546367,RY,0,0,2.626934504,1.518280801,0.678281846,0,0.492829714,RY,0,0,2.727251684,1.342258584,0.611310438,0,0.58993421,19,0.372063471,0.011591425,0.030255159,-0.240201299,-0.113657664,0.008490741,-0.068541833
20,SG,0,1.234714333,1.969882729,0,1.287182166,0.591848174,0,0,0,0,0,0,4.095284872,0,0,1.049084249,3.434968017,0,1.93600721,0,0,SG,1.342805271,0.227640956,1.3058728,1.450144485,0.33810271,0.754381142,0.370777891,SG,2.026749345,0,1.11787692,0,1.300932177,0,0.603492782,SG,1.906819368,0,1.393347834,0,1.217719743,0,0.545749975,20,0.170811343,-0.114856916,0.023669291,-0.023071497,0.00999347,0.007998468,-0.074544159
21,SG,0.376358961,1.20073137,0.289157098,0.888305757,1.558789413,0.521260777,1.247987843,0.953459119,0.918416801,0,0,1.579166667,0.930746562,1.804761905,0.258982397,0.991806661,0.552753474,0.978885007,1.947133689,0.477424271,1.27705113,SG,1.362121688,0.223797699,1.308006636,1.436803387,0.298921276,0.715114799,0.3645184,SG,0.139951684,0.848803969,1.596909922,0.367230163,1.205116157,1.357723123,0.520123593,SG,0.152526033,0.88604608,1.605543498,0.357657455,1.184604267,1.372038068,0.544091234,21,0.087948368,-0.004877605,0.004149438,-0.012156416,-0.005930798,-0.017931455,-0.051201532
22,RY,0.379843766,0.994630991,0,2.689592431,2.288323852,0.131521816,0.629771643,1.498292902,1.924301869,0,0,1.24077381,0,0,0.346637977,0.706114398,0,2.620399864,3.127396263,0.182575436,0.85464191,SG,1.34477671,0.216263985,1.348181369,1.497127267,0.281188209,0.675056078,0.348993853,RY,0,2.730753559,2.271682423,0.401857322,0.994530847,0.602582301,0.136195832,RY,0,2.639517159,2.251165682,0.420593261,1.010931766,0.677551754,0.122685371,22,0.155660987,0.011953904,-0.050988838,-0.117402306,-0.018484341,-0.004792701,0.024053295
