MI,OC,RY,SC,SG,YG,YK,Origin
0.0,0.0,0.6081388888888888,0.341861111111111,0.05,0.0,0.0,1
0.0,0.0,0.6081388888888888,0.341861111111111,0.05,0.0,0.0,2
0.0,0.0,0.6081388888888888,0.341861111111111,0.05,0.0,0.0,3
0.0,0.0,0.6081388888888888,0.341861111111111,0.05,0.0,0.0,4
0.0,0.0,0.6081388888888888,0.341861111111111,0.05,0.0,0.0,5
0.0,0.0,0.2556666666666667,0.11433333333333336,0.63,0.0,0.0,6
0.0,0.0,0.2556666666666667,0.11433333333333336,0.63,0.0,0.0,7
0.0,0.0,0.0725,0.2975,0.63,0.0,0.0,8
0.0,0.00831453634085213,0.01037907268170426,0.27278822055137847,0.7033064479380268,0.0,0.0052117224880382776,9
0.0,0.00831453634085213,0.01037907268170426,0.27278822055137847,0.7033064479380268,0.0,0.0052117224880382776,10
0.0,0.00831453634085213,0.01037907268170426,0.27278822055137847,0.7033064479380268,0.0,0.0052117224880382776,11
0.0,0.00831453634085213,0.01037907268170426,0.27278822055137847,0.7033064479380268,0.0,0.0052117224880382776,12
0.0,0.030945598089560947,0.02542142330493724,0.6688204489439009,0.2615564724233456,0.0,0.01325605723825538,13
0.0,0.030945598089560947,0.02542142330493724,0.6688204489439009,0.2615564724233456,0.0,0.01325605723825538,14
0.0,0.07673911666249127,0.07953547999987627,0.08280141487339626,0.6790257588558671,0.0,0.0818982296083689,15
0.0,0.09763224275724276,0.43065856365856364,0.0,0.47170919358419366,0.0,0.0,16
0.0,0.07987925282495477,0.4949948083512526,0.0401617366745253,0.3080287727962232,0.0,0.07693542935304394,17
0.0,0.03507172863505932,0.33570147790738675,0.1073043334494376,0.4562922370956757,0.0351117120439472,0.030518510868493366,18
0.0,0.0,0.5102103207250266,0.11103108819285289,0.274671568627451,0.0,0.10408702245466946,19
0.1286085026085026,0.0,0.2171170773670773,0.0,0.5268150460650457,0.0,0.1274593739593739,20
0.008880711646531246,0.026299027036723488,0.3101561619623076,0.026855351511723868,0.4880141600814463,0.029943021122406557,0.1098515666388606,21
0.0,0.08460865445352996,0.4412123011479725,0.029387617704034343,0.4027372245381404,0.013289259237292808,0.028764942919029677,22
0.02431826845683712,0.14568827901113957,0.3498608609474758,0.055314419762570725,0.3774962722430633,0.025756878121897208,0.02156502145701638,23
0.0,0.09291434258291303,0.4727339297645997,0.0,0.29631646563880965,0.0,0.1380352620136774,24
0.0,0.0,0.4089445365268681,0.03733112007944836,0.48442009412318043,0.0,0.06930424927050322,25
0.0,0.0,0.32325277592444385,0.10896581393301841,0.35184979989441456,0.053819924492664935,0.16211168575545762,26
0.0,0.0,0.32325277592444385,0.10896581393301841,0.35184979989441456,0.053819924492664935,0.16211168575545762,27
0.0,0.0,0.32325277592444385,0.10896581393301841,0.35184979989441456,0.053819924492664935,0.16211168575545762,28
0.0,0.0,0.32691729323308266,0.004941520467836257,0.6516236424394318,0.0036359649122807013,0.01288157894736842,29
0.0,0.0,0.30745238095238087,0.0,0.692547619047619,0.0,0.0,30
0.0,0.0,0.30745238095238087,0.0,0.692547619047619,0.0,0.0,31
0.0,0.0,0.09069047619047618,0.0,0.9093095238095238,0.0,0.0,32
0.0,0.0498252752149811,0.01838449459037694,0.02275598257951199,0.8882918886668887,0.0,0.020742358948241297,33
0.0,0.16089309492250664,0.07163097278538454,0.07733537894567305,0.6131043594205361,0.0,0.07703619392589978,34
0.0,0.0,0.14967732267732264,0.0,0.8503226773226774,0.0,0.0,35
0.0,0.0,0.3139863469863468,0.0,0.5786441891441889,0.0,0.10736946386946382,36
0.0,0.09582361101733909,0.5765032008596641,0.0,0.3276731881229969,0.0,0.0,37
0.0,0.07615074527090022,0.6113662481464541,0.0,0.29006448629270365,0.0,0.02241852028994221,38
0.0,0.057655985476785715,0.515536524591505,0.0,0.42680748993170914,0.0,0.0,39
0.0,0.018153470645137906,0.2529463289893957,0.0,0.6769215271196549,0.017842753557498238,0.03413591968831276,40
0.01920001006232165,0.02045038661639212,0.21890797179264254,0.02023451038485168,0.6362596622234495,0.0,0.08494745892034224,41
0.0,0.031234742103296548,0.18820584168212104,0.020828045927420664,0.7253889528888813,0.0,0.034342417398280214,42
0.0,0.0,0.13195468692701826,0.0,0.6774083148018132,0.0,0.1906369982711683,43
0.0,0.06239911060731492,0.2521618319163076,0.0,0.6300206578225324,0.0,0.0554183996538452,44
0.0,0.0,0.0,0.03676498485585284,0.8586240849010153,0.0,0.10461093024313182,45
0.009717142725965792,0.005448027906704711,0.06361148672239123,0.015959661772432722,0.8727511265685901,0.0,0.03251255430391565,46
0.0,0.011763138636939594,0.012471932764671862,0.0,0.9624314786779296,0.0,0.013333449920459085,47
0.0,0.017558075919883315,0.03671843651907808,0.0,0.9119370743186476,0.0,0.0337864132423908,48
0.0,0.0,0.0,0.0,1.0,0.0,0.0,49
0.008033869205708123,0.0504972902162375,0.0885050734370966,0.0,0.8057343065119505,0.0,0.047229460629007125,50
0.0,0.0,0.07000014960464919,0.03809452341047695,0.8753529479996345,0.0,0.016552378985239216,51
0.0,0.2127878787878787,0.0009615384615384616,0.0007307692307692308,0.7851351981351979,0.0,0.0003846153846153846,52
0.007410384363552006,0.0,0.08101256092828367,0.009057503194298601,0.8946052413585417,0.0,0.007914310155323756,53
0.007410384363552006,0.0,0.08101256092828367,0.009057503194298601,0.8946052413585417,0.0,0.007914310155323756,54
8.474576271186441e-05,0.2481865079365078,0.004265536723163842,0.00016949152542372882,0.7471242265267688,0.0,0.00016949152542372882,55
0.0,0.04128571428571429,0.42802380952380964,0.0,0.525690476190476,0.0,0.005,56
0.0,0.32895238095238083,0.32619047619047614,0.0,0.015,0.0,0.32985714285714285,57
0.0,0.11716666666666667,0.7543333333333334,0.0,0.0,0.0,0.12849999999999998,58
0.0009090909090909091,0.0,0.3708578643578642,0.0,0.48172889610389596,0.0,0.1465041486291486,59
0.0843635510516315,0.0,0.2071285456030038,0.0,0.5144942618441071,0.06056592465841686,0.1334477168428406,60
0.002686868686868687,0.0,0.4308852813852812,0.0,0.27552236652236645,0.0011111111111111111,0.28979437229437216,61
0.0,0.0,0.142085032733976,0.0,0.8033762379777091,0.0,0.05453872928831535,62
0.0,0.0,0.28216143117998327,0.0,0.4730479744642519,0.06844598499905738,0.17634460935670718,63
