MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,MI_Norm_dist,OC_Norm_dist,RY_Norm_dist,SC_Norm_dist,SG_Norm_dist,YG_Norm_dist,YK_Norm_dist,Origin
0,1.853589358,2.641651678,0,1.053012084,0,0,0,2.006914116,2.72648522,0,1.000399352,0,0,39
0,0.583618157,1.296117855,0,1.670089126,0.817421147,0.161066168,0,0.623189747,1.236239879,0,1.685884069,0.779234146,0.184121377,40
0.31449402,0.657461991,1.121702505,0.274919298,1.569768874,0,0.400814209,0.275569681,0.552744494,1.090743944,0.255412602,1.574505694,0,0.453618342,41
0,1.00416956,0.964382258,0.28298346,1.789667124,0,0.162040502,0,1.07828827,0.979358431,0.331405859,1.776695486,0,0.145363559,42
0,0,0.676146701,0,1.67129012,0,0.899497391,0,0,0.738852994,0,1.656663631,0,0.869728449,43
0,2.00607667,1.292098027,0,1.55437611,0,0.26148495,0,2.090151117,1.378663707,0,1.483379277,0,0.305212281,44
0,0,0,0.49951314,2.118382545,0,0.493593897,0,0,0,0.46915442,2.124511116,0,0.492416263,45
0.159165712,0.175149318,0.325950505,0.216838407,2.153236539,0,0.153406516,0.164588444,0.198284349,0.313351076,0.197351659,2.165707621,0,0.142967856,46
0,0.378174589,0.063907212,0,2.374494358,0,0.062912255,0,0.401916423,0.060598576,0,2.377498855,0,0.05672848,47
0,0.564476739,0.188148298,0,2.249915434,0,0.159417064,0,0.605568089,0.216110564,0,2.224084729,0,0.177038032,48
0,0,0,0,2.467182767,0,0,0,0,0,0,2.467182767,0,0,49
0.13159388,1.623443585,0.453507297,0,1.987893796,0,0.222846441,0.142070135,1.510183172,0.448097953,0,1.988411024,0,0.240443242,50
0,0,0.358686541,0.517577121,2.159655708,0,0.078100378,0,0,0.32932439,0.515275791,2.173307896,0,0.079827752,51
0,6.840943647,0.004927002,0.009928709,1.93707203,0,0.001814761,0,7.610434989,0.02049633,0,1.873275268,0,0,52
0.121381268,0,0.415115045,0.123061165,2.207154635,0,0.037342706,0.143860337,0,0.410735799,0.10629482,2.202838555,0,0.04897685,53
