Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Walk,Time.Bike
UG,FT,Transit,Female,0,Other,0,Family,1,3,4,Unknown,17.474220000000003,75.468478,223.2147,59.52392
Grad,FT,Walk,Female,1,Other,0,Other,0,0,2,High,2.924953,24.128386,16.985265000000002,4.529404
UG,FT,Transit,Female,1,Other,1,Family,1,0,4,Unknown,50.17188,155.55116999999998,349.78845,93.27692
UG,FT,Walk,Male,1,Other,1,Other,0,0,4,Unknown,1.049121,16.675728,10.491209999999999,2.797656
Grad,FT,Walk,Male,1,Other,0,Other,0,0,2,Low,2.924953,24.128386,16.985265000000002,4.529404
UG,FT,Walk,Female,0,PT,0,Other,0,0,3,Unknown,3.068723,25.742024,23.927640000000004,6.380704000000001
UG,FT,Transit,Female,0,Other,0,Family,2,1,4,Unknown,14.542720000000001,53.74530100000001,172.4934,45.998239999999996
UG,FT,Auto,Female,1,Other,0,Family,2,0,5,Low,60.657419999999995,213.66741,694.2008999999999,185.12024
Grad,FT,Bike,Female,1,Other,0,Other,1,0,2,Unknown,15.759179999999999,42.637287,93.900495,25.040132
Grad,FT,Transit,Female,1,Other,0,Other,1,0,2,Unknown,66.12179,117.968371,446.0127,118.93672000000001
UG,FT,Transit,Female,1,Other,1,Family,1,0,3,Unknown,26.741290000000003,79.65141700000002,184.09215,49.09124
Grad,FT,Walk,Female,1,Other,1,Other,0,0,2,Low,2.168042,23.855995999999998,19.46616,5.190976
UG,FT,Transit,Female,1,Other,1,Family,2,0,4,Unknown,42.48558,133.416563,306.17909999999995,81.64775999999999
Grad,FT,Walk,Female,1,Other,1,Other,1,0,2,Unknown,2.595157,27.40234,23.805030000000002,6.348008000000001
Grad,FT,Walk,Male,0,Other,0,Other,1,0,2,Unknown,4.289724,29.3483,30.6678,8.17808
UG,FT,Transit,Female,1,Other,0,Other,0,0,2,Low,10.911489999999999,42.701539000000004,73.300215,19.546723999999998
UG,FT,Walk,Male,0,Other,0,Other,0,0,2,Unknown,4.372437000000001,25.162232,31.4544,8.38784
UG,FT,Transit,Female,0,Other,0,Family,2,1,4,Unknown,45.03045,94.027575,281.47785,75.06075999999999
UG,FT,Transit,Female,0,PT,0,Other,0,0,2,Low,3.320328,31.447038,28.74147,7.664391999999999
UG,FT,Transit,Female,0,Other,0,Family,1,1,4,Unknown,38.66856,121.87445,373.66335,99.64356
Grad,FT,Walk,Female,1,Other,0,Other,0,0,1,Low,2.523888,24.493026999999998,28.469009999999997,7.591736
UG,FT,Transit,Male,1,Other,1,Family,1,0,5,Unknown,32.80055,110.67659099999999,292.08585,77.88956
UG,FT,Transit,Female,1,Other,1,Family,2,0,3,Unknown,56.11577,106.759166,367.53165,98.00844000000001
UG,FT,Transit,Female,0,Other,0,Family,1,0,4,Unknown,40.6925,116.478907,289.56794999999994,77.21812
