2019 Mode Choice Model in R,,,,
Parameter,Estimate,p-value,z-value,Std. Error
ASC_Active,2.170973775,0,35.39716262,0.061331859
ASC_Transit,1.251474621,0,19.97729238,0.062644857
B_Auto,-0.041042092,0,-13.03081558,0.003149618
B_Active,-0.02272237,0,-32.99451447,0.000688671
B_Transit,-0.008854081,3.33E-15,-7.877732033,0.001123938
,,,,
LOG_LHOOD,-5935.254544,,,
MCF_R^2,0.241709088,,,
