Labels,Distances,Accuracy,AveProb
1,False,0.40165770609318996,0.2693618160509045
1,True,0.4573924731182796,0.38190303498930084
2,False,0.4091397849462366,0.2990627047535227
2,True,0.45492831541218637,0.38228350856824345
3,False,0.45376344086021503,0.3403898662117563
3,True,0.45237455197132614,0.3803270134714327
4,False,0.46393369175627236,0.34524418434414883
4,True,0.4633064516129032,0.3852330486829122
5,False,0.4584229390681004,0.3480569965769772
5,True,0.45331541218637994,0.3800746608880146
6,False,0.46025985663082436,0.35238745010560324
6,True,0.46025985663082436,0.38353775952213753
7,False,0.4547043010752688,0.35021422902798566
7,True,0.45931899641577056,0.38379555653039865
