Zone#,PD,X,Y
4033,39,604950,4816718
4034,39,603878,4815642
4035,39,603727,4815122
4036,39,604042,4814142
4037,39,602556,4813646
4038,39,603366,4813223
4039,39,601648,4811522
4040,39,604255,4811182
4041,39,602754,4810219
4042,39,601897,4808922
4043,39,601302,4807633
4044,39,600229,4806033
4045,39,599608,4808946
4046,39,596586,4810083
4047,39,597099,4812272
4048,39,600971,4816175
4049,39,602038,4817509
4050,40,591898,4793897
4051,40,593224,4795302
4052,40,592255,4794960
4053,40,594119,4796901
4054,40,594505,4796424
4055,40,595494,4796926
4056,40,597258,4796499
4057,40,595929,4797828
4058,40,595646,4798970
4059,40,596696,4798470
4060,40,597556,4797712
4061,40,598209,4798708
4062,40,597272,4799712
4063,40,597488,4800258
4064,40,598373,4799830
4065,40,599058,4799226
4066,40,599840,4800040
4067,40,599068,4800650
4068,40,598408,4801316
4069,40,599295,4802546
4070,40,599675,4801910
4071,40,600187,4801570
4072,40,600228,4800742
4073,40,601119,4801782
4074,40,601894,4802293
4075,40,602597,4802910
4076,40,601261,4803126
4077,40,600292,4803969
4078,40,599228,4805029
4079,40,597865,4806420
4080,40,596732,4805094
4081,40,598451,4803874
4082,40,596938,4801603
4083,40,596401,4802516
4084,40,595458,4803484
4085,40,595209,4801631
4086,40,596208,4800848
4087,40,595290,4800040
4088,40,594504,4799574
4089,40,593949,4801886
4090,40,593308,4801051
4091,40,592187,4797086
4092,40,589862,4794962
4093,40,592043,4803302
4094,40,594043,4805358
4095,40,594704,4808633
4096,40,591636,4809042
4097,40,589463,4806566
4098,40,587227,4809179
4099,40,588648,4811132
4100,38,595030,4812602
4101,38,591675,4812420
4102,38,592526,4814232
4103,38,590710,4815797
4104,38,593760,4815872
4105,38,591853,4817143
4106,38,596753,4816444
4107,38,594229,4816620
4108,38,592832,4818237
4109,38,594897,4818391
4110,38,594035,4818937
4111,38,596673,4819764
4112,38,595376,4821895
4113,38,600013,4820150
4114,38,598362,4822886
4115,38,596034,4823617
4116,38,594613,4821878
4117,38,592757,4822311
4118,38,593802,4820617
4119,38,591652,4820670
4120,38,593047,4819725
4121,38,588513,4822674
4122,38,588489,4819242
4123,38,590675,4819832
4124,38,591679,4818758
4125,38,590921,4817646
4126,38,590020,4818816
4127,38,589599,4816495
4128,38,588327,4817501
4129,38,587226,4818552
4130,38,587554,4817466
4131,38,589018,4816278
4132,38,584718,4815245
4133,38,587550,4813666
4134,38,583178,4810468
4135,38,581538,4812307
4136,38,582497,4815382
4137,38,580796,4816288
4138,38,577397,4819897
4139,38,582030,4817926
4140,38,577117,4822848
4141,38,574817,4818940
4142,38,571234,4822935
4143,38,573387,4827264
4144,38,586977,4820497
4145,38,587280,4821351
4147,38,588265,4820392
4148,38,590894,4821643
4149,37,588317,4823530
4150,37,591589,4822209
4151,37,593026,4823470
4152,37,594343,4825365
4153,37,597142,4828480
4154,37,592585,4826574
4155,37,595162,4830066
4156,37,592101,4833346
4157,37,591040,4833353
4158,37,590678,4832200
4159,37,589729,4833044
4160,37,589755,4831368
4161,37,589054,4832736
4162,37,588459,4833422
4163,37,586816,4833502
4164,37,586848,4834424
4165,37,589820,4835802
4166,37,586230,4832625
4167,37,585192,4832751
4168,37,587640,4830727
4169,37,585480,4826008
4170,37,583082,4828935
4171,37,577876,4828587
4172,37,580669,4832548
4173,37,581533,4836862
4174,37,584229,4838636
4175,37,578156,4833761
4176,37,578370,4832256
4177,37,578094,4831604
4178,37,577205,4832032
4179,37,576552,4830042
4180,39,604850,4818280
4181,39,603456,4816220
4182,39,603091,4815677
4183,39,600599,4814564
4184,39,600389,4813338
4185,39,599664,4810896
4186,39,600588,4810012
4187,39,598540,4809487
4188,40,596943,4807354
4189,40,596131,4806260
4190,40,597356,4803386
4191,40,586150,4808675
4192,38,589550,4819886
4193,37,589770,4833581
4194,37,588630,4833854
4195,37,586286,4835499
4196,37,577362,4830592
4197,37,577044,4831363
5001,44,598921,4771109
5002,44,597736,4774417
5003,44,601028,4773988
5004,44,591830,4774624
5005,44,597027,4774654
5006,44,594723,4774695
5007,44,598049,4775966
5008,44,587566,4775540
5009,44,597018,4775791
5010,44,594628,4775963
5011,44,599573,4777411
5012,44,602721,4778491
5013,44,593278,4777696
5014,44,598032,4778158
5015,44,595529,4778998
5016,44,589886,4779230
5017,44,599616,4779016
5018,43,583629,4779503
5020,44,587430,4779642
5021,44,599793,4780612
5023,44,594775,4780172
5025,44,592815,4780732
5026,45,599964,4780922
5027,43,585668,4781088
5028,45,602255,4781000
5030,45,605628,4782092
5031,44,595223,4781280
5032,45,598842,4781420
5033,44,590366,4781518
5034,44,593896,4781448
5035,45,600623,4781888
5036,43,578976,4782630
5037,45,597083,4781920
5038,44,588050,4782364
5039,46,595461,4782551
5040,44,590136,4782718
5041,45,598556,4782380
5042,43,582065,4783054
5043,46,594311,4782885
5044,45,597310,4783092
5045,46,593696,4783166
5046,46,592982,4783205
5047,44,588010,4783398
5048,43,586098,4784209
5049,45,602345,4783172
5050,46,592063,4783634
5051,46,591260,4783856
5052,46,595244,4783832
5053,45,597613,4783698
5054,45,599536,4783220
5055,45,600817,4783025
5056,46,590262,4784023
5057,46,593995,4784142
5058,46,589712,4784158
5059,43,581924,4784507
5060,46,593150,4784352
5061,45,609022,4784862
5062,46,595836,4784722
5063,46,592407,4784470
5065,43,580972,4785112
5066,46,587819,4785040
5067,43,582698,4784752
