,Campus,Mode,HomeZone,Income,Time.Auto,Time.Transit,Time.Active
90,69,Active,53,Unknown,2.845125,24.990155,27.043575
91,69,Active,50,Unknown,2.595157,27.40234,23.805030000000002
92,3631,Auto,4023,I donâ€™t know,51.14774,121.54133,533.0118
93,69,Transit,172,I donâ€™t know,11.27827,44.993718,74.18136
94,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
95,566,Auto,2395,Unknown,23.800060000000002,90.12109,229.38479999999998
96,69,Transit,147,Unknown,15.85454,47.83985300000001,92.782125
97,69,Active,73,"$ 30,000 - 59,999",2.014925,20.126511999999998,15.20709
98,3631,Transit,328,"$ 180,000 - 209,999",8.250103,35.315525,88.190685
99,69,Transit,3674,"$ 120,000 - 149,999",48.56919,135.888826,331.77645
100,69,Active,68,Unknown,1.464106,25.325449,14.598600000000001
101,69,Transit,322,"$ 240,000 +",32.36266,73.067319,196.41555000000002
102,566,Transit,68,Unknown,28.386979999999998,85.44495500000002,355.40729999999996
103,69,Transit,145,"$ 60,000 - 89,999",21.56203,58.379758,116.34838500000001
104,69,Transit,3690,Unknown,54.61469,155.730367,417.22139999999996
105,3631,Auto,4017,Unknown,52.80321,128.95526999999998,559.4454000000001
106,69,Active,103,I donâ€™t know,7.961721000000001,35.038115999999995,50.06562
107,3631,Auto,3809,Unknown,1.885362,20.435959,19.86384
108,69,Transit,3678,I donâ€™t know,63.395309999999995,160.491967,474.73455000000007
109,69,Transit,120,"$ 30,000 - 59,999",19.30037,44.767979,104.03547
110,69,Active,71,I donâ€™t know,2.924953,24.128386,16.985265000000002
111,69,Transit,62,"Less than $ 30,000",5.769032,30.167623,51.040994999999995
112,3631,Active,3663,"$ 30,000 - 59,999",7.717772999999999,37.877319,75.9915
113,69,Active,73,Unknown,2.014925,20.126511999999998,15.20709
114,69,Active,53,"Less than $ 30,000",2.845125,24.990155,27.043575
115,69,Transit,269,"$ 150,000 - 179,999",13.53559,50.490272999999995,88.17565499999999
116,3631,Auto,3436,I donâ€™t know,32.172740000000005,110.024981,272.87475
117,69,Transit,237,I donâ€™t know,26.741290000000003,79.65141700000002,184.09215
118,566,Transit,73,"$ 30,000 - 59,999",32.017509999999994,83.156993,356.68215000000004
119,69,Transit,3863,"Less than $ 30,000",68.87486,99.884775,526.4025
120,69,Active,67,I donâ€™t know,2.523888,24.493026999999998,28.469009999999997
121,69,Transit,21,Unknown,4.289724,29.3483,30.6678
122,69,Active,48,Unknown,1.9141869999999999,23.859148,17.990325000000002
123,69,Active,69,"Less than $ 30,000",0.0,0.0,0.0
124,69,Active,46,"$ 90,000 - 119,999",2.168042,23.855995999999998,19.46616
125,69,Active,103,Unknown,7.961721000000001,35.038115999999995,50.06562
126,69,Transit,107,Unknown,11.057360000000001,37.31815,63.98426999999999
127,69,Active,115,Unknown,15.891110000000001,45.144366,87.02386499999999
128,566,Active,567,Unknown,1.15247,17.169234,11.262285
129,3631,Transit,3631,Unknown,0.0,0.0,0.0
130,69,Transit,3665,I donâ€™t know,65.64657,96.277786,472.7253
131,69,Transit,4067,Unknown,86.34888000000001,151.98685600000002,687.40515
132,69,Active,187,"$ 150,000 - 179,999",4.603065,25.568201000000002,35.364990000000006
133,3631,Transit,3664,Unknown,23.7902,98.9388,204.6681
134,69,Transit,77,"$ 180,000 - 209,999",3.145816,20.714456,33.342495
135,3631,Active,3663,I donâ€™t know,7.717772999999999,37.877319,75.9915
136,69,Auto,213,I donâ€™t know,19.18929,52.600751,114.68679
138,69,Active,75,"$ 30,000 - 59,999",2.141326,19.940688,19.27866
139,69,Transit,1123,"$ 150,000 - 179,999",88.53589000000001,125.59295,626.6408999999999
141,69,Transit,620,Unknown,54.67905,133.365501,385.8555
142,69,Transit,101,Unknown,9.638221000000001,34.536596,55.197585000000004
143,69,Active,70,"$ 90,000 - 119,999",1.117177,20.195869,11.101709999999999
144,566,Active,566,Unknown,0.0,0.0,0.0
145,69,Transit,569,Unknown,56.19446,126.74985,368.2065
146,69,Transit,420,"Less than $ 30,000",26.9185,39.01859,180.08610000000002
147,69,Transit,588,Unknown,43.24969,130.64222900000001,310.2468
148,69,Transit,463,"$ 90,000 - 119,999",32.571740000000005,69.622366,212.3673
149,69,Active,3385,Unknown,78.52228000000001,122.85326,598.2861
150,69,Active,68,Unknown,1.464106,25.325449,14.598600000000001
151,69,Transit,436,Unknown,31.373890000000003,72.71069200000001,199.884
152,69,Transit,46,"Less than $ 30,000",2.168042,23.855995999999998,19.46616
154,566,Transit,490,Unknown,7.019825999999999,31.444467,96.208185
155,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
156,69,Transit,39,Unknown,3.2369220000000003,21.681383,26.183565
157,69,Transit,79,Unknown,5.704483,36.318000000000005,56.28550500000001
158,69,Transit,523,Unknown,38.02369,69.37563,238.95075
159,69,Active,71,Unknown,2.924953,24.128386,16.985265000000002
160,69,Active,47,Unknown,1.710853,20.776487,15.946485
161,566,Auto,3812,"$ 90,000 - 119,999",59.263980000000004,176.51618100000005,657.8274
162,69,Auto,8505,Unknown,0.0,0.0,0.0
163,3631,Auto,3655,Unknown,9.900758999999999,45.887638,110.07012
164,3631,Transit,3657,Unknown,16.34346,58.225728,172.3128
165,69,Active,430,"Less than $ 30,000",35.95232,71.095504,240.5175
166,69,Transit,2357,Unknown,58.12973,160.45126000000002,426.17025
167,3631,Auto,3603,Unknown,11.417910000000001,64.48275799999999,98.16511499999999
168,69,Active,70,Unknown,1.117177,20.195869,11.101709999999999
169,566,Active,566,Unknown,0.0,0.0,0.0
170,566,Transit,3436,I donâ€™t know,75.81084,138.06521,771.7502999999999
171,69,Active,68,"Less than $ 30,000",1.464106,25.325449,14.598600000000001
172,69,Transit,3680,Unknown,56.21034,142.68010800000002,406.2063
173,566,Transit,223,"$ 150,000 - 179,999",17.88877,71.55026699999998,225.87225
