Home Zone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Distance,Family
274,36,2,1,3,1,1,2,2,1,0,5.182155,0
122,29,1,1,3,2,2,2,2,0,0,59.73031,0
443,36,1,1,3,1,1,2,2,0,0,11.06701,0
553,18,1,1,1,2,1,2,3,0,1,18.02955,1
5150,27,2,9,2,2,1,1,3,0,0,7.384882,1
432,32,2,1,3,1,1,2,2,1,0,16.72669,0
282,18,2,0,2,2,2,0,3,1,1,4.742397,1
37,17,2,1,1,2,0,0,0,1,0,0.536157,0
4014,27,2,1,1,2,2,2,2,0,5,31.94215,1
2351,62,1,1,1,2,0,1,1,0,1,17.90372,0
21,45,1,1,1,2,0,1,1,0,1,2.057186,0
90,31,1,1,3,1,1,2,2,0,0,3.493251,0
4127,22,2,1,1,1,2,2,4,2,0,35.48003,1
428,62,1,1,1,1,2,2,2,0,0,15.13973,0
237,47,2,1,1,1,1,2,2,2,0,2.193977,1
42,29,1,1,3,1,0,1,2,0,0,1.362023,0
3436,23,2,1,3,1,3,2,5,0,0,41.39386,1
5232,45,1,1,3,1,2,2,2,2,0,10.93602,1
498,22,2,1,1,2,1,2,3,0,1,18.80142,1
4173,19,2,1,1,2,4,0,4,2,4,56.35213,1
24,21,1,1,2,2,0,2,2,0,10,1.35742,0
3694,23,1,1,1,2,3,2,4,0,3,36.08179,1
337,23,2,1,1,2,3,0,4,0,1,18.75631,1
463,35,2,1,1,2,1,1,2,0,1,13.79859,0
5084,20,1,1,2,1,2,2,3,1,0,8.661989,1
3354,20,1,1,2,2,3,2,4,3,5,37.89026,1
23,66,1,0,2,1,0,2,1,0,0,1.111839,0
4084,37,2,1,3,1,2,2,2,0,0,23.31448,0
3369,25,1,1,2,2,3,0,4,1,3,45.7304,1
343,24,2,1,2,2,2,2,4,0,1,16.37287,1
571,18,2,1,1,2,3,2,4,0,5,25.56536,1
407,19,2,9,1,2,1,0,4,0,8,17.43086,1
485,30,1,1,3,1,4,2,4,0,0,16.43998,1
237,21,2,1,1,2,3,2,5,0,0,78.09587,1
315,57,1,1,3,1,1,2,2,0,0,12.07029,0
37,21,1,1,3,1,0,1,2,0,0,0.536157,0
46,21,2,1,2,2,1,0,2,0,0,1.368845,0
5175,22,2,1,2,2,1,2,4,0,2,0.731925,0
5175,27,2,1,1,2,1,2,4,0,3,0.731925,0
3606,19,2,1,2,2,3,2,6,0,0,47.89135,1
3719,33,1,1,3,1,1,1,2,0,0,37.43704,0
347,30,2,1,3,1,1,2,2,0,3,60.18279,0
3650,28,1,0,2,2,1,0,2,0,4,30.71994,0
3691,21,2,1,1,2,2,1,3,2,1,31.22874,1
494,22,1,1,2,2,1,2,4,1,0,20.76891,1
2366,21,2,1,2,2,1,2,3,0,1,20.29017,1
383,18,2,1,1,2,1,0,3,0,1,22.60084,1
3448,19,1,1,1,2,3,0,5,1,4,34.30503,1
1029,21,2,1,3,1,2,2,4,0,0,102.5234,1
184,19,2,0,1,2,2,2,3,1,1,9.155414,1
293,19,1,0,2,2,1,2,3,0,1,15.0305,1
278,35,1,1,3,1,1,2,1,0,0,3.581594,0
202,22,1,1,2,2,1,2,2,0,0,5.631681,0
366,29,1,0,1,2,2,1,3,0,1,19.71237,1
290,51,1,0,3,1,1,2,3,0,1,14.64612,1
2059,30,1,1,3,1,2,2,2,0,0,25.9585,0
3654,19,1,1,1,2,3,0,6,0,1,18.97318,1
450,32,1,1,3,1,1,2,2,0,0,14.72527,0
353,20,1,1,2,2,4,0,5,1,0,17.32133,1
5171,32,2,1,2,2,0,1,2,0,1,4.395624,0
248,19,1,0,1,2,3,2,4,0,1,10.47995,1
2428,22,1,1,2,2,2,2,4,0,0,28.44568,1
618,26,2,0,1,1,1,2,5,0,0,27.00234,1
229,71,2,1,1,1,1,2,3,0,0,12.04033,1
1046,30,2,1,3,1,4,1,4,0,3,28.05498,1
270,21,2,0,1,2,2,2,3,0,1,3.881354,1
537,19,1,1,2,2,3,2,5,1,1,10.56717,1
30,59,2,1,3,1,1,0,1,1,0,2.470145,0
2108,31,2,1,1,2,4,2,5,0,3,26.30784,1
3417,24,2,1,1,2,2,2,5,0,0,40.06333,1
328,20,2,0,2,2,1,0,3,0,10,16.23903,1
564,36,2,1,3,1,2,2,4,0,1,23.13804,1
606,22,2,0,2,2,1,2,3,0,0,23.0445,1
3691,22,1,1,2,2,3,2,4,2,8,31.22874,1
3688,18,2,0,1,2,1,1,2,0,1,45.75791,1
178,18,1,1,2,2,2,2,4,0,1,9.387563,1
19,25,1,0,2,2,1,0,4,2,10,1.745013,1
3716,22,2,1,2,1,1,0,4,0,4,35.55071,1
251,54,1,0,1,2,0,1,1,0,1,7.743137,0
313,20,2,1,1,2,1,0,2,0,0,13.41367,1
457,20,2,1,1,2,2,1,4,0,0,15.54146,1
127,19,2,0,1,2,2,2,3,1,1,11.28508,1
370,22,2,1,2,2,2,2,2,1,3,25.07065,1
71,35,1,1,1,2,0,1,2,0,0,4.174835,0
404,19,1,1,2,2,2,2,5,0,0,66.21653,1
321,24,1,1,1,1,2,2,3,1,3,14.8883,1
2022,22,2,1,1,2,5,2,4,0,0,32.3126,1
120,30,1,1,1,2,2,2,2,0,1,8.580473,0
2608,18,1,1,2,2,3,2,3,1,4,47.25921,1
184,50,2,1,3,1,1,0,2,0,1,9.155414,0
2053,21,1,1,1,2,3,2,4,3,5,32.69045,1
3439,19,1,1,1,2,2,1,3,1,0,38.94505,1
100,22,2,1,1,2,1,2,4,0,1,5.586674,1
3429,18,2,1,1,2,2,1,3,0,0,37.83978,1
264,23,2,1,1,2,2,0,4,0,3,6.031485,1
2203,21,2,1,2,2,2,2,4,0,0,85.17343,1
515,21,1,1,1,2,2,2,4,0,0,18.43733,1
65,33,1,1,1,2,1,2,2,1,1,1.850834,0
90,21,2,0,3,2,0,2,3,1,0,3.574542,1
2440,45,2,1,2,2,1,2,2,0,1,101.6535,0
204,22,1,1,2,2,1,2,1,0,1,4.941162,0
74,27,1,0,3,1,0,2,2,0,1,2.314008,0
3644,21,1,1,1,2,1,1,2,0,5,39.05106,1
2236,22,2,1,1,2,1,2,2,0,1,28.23945,1
5207,25,1,1,1,2,3,2,3,0,3,3.644809,1
259,36,1,1,3,2,2,2,2,2,1,7.602242,0
184,24,2,1,2,2,0,2,3,0,1,9.155414,0
2363,23,1,1,3,2,1,0,2,0,0,84.67016,0
3648,22,1,1,1,2,3,0,4,0,3,20.91687,1
454,34,1,1,2,2,1,1,1,1,1,11.74369,0
15,21,1,0,2,2,1,2,3,0,8,4.434583,1
483,22,2,1,2,2,0,0,3,0,0,1.872206,0
3337,20,2,1,1,2,3,0,5,0,1,29.70872,1
3716,45,2,1,3,1,1,1,2,3,0,0,0
1186,23,1,1,1,2,2,0,3,0,3,52.10602,1
3355,21,2,0,2,2,1,0,4,0,1,12.80688,1
2440,19,2,0,1,2,2,2,3,1,0,36.17311,1
281,38,1,1,3,1,1,2,2,0,0,6.105204,0
48,23,1,1,1,2,1,2,2,0,10,1.199355,0
2126,22,2,1,1,2,2,2,3,1,0,18.94397,1
177,22,1,0,1,2,2,2,4,0,1,6.746917,1
90,21,2,0,1,2,0,2,3,0,1,3.096734,1
4190,44,1,1,3,1,1,1,1,2,0,30.36289,1
104,25,1,9,1,2,1,2,4,0,0,3.631853,0
114,27,1,1,3,1,0,2,1,0,0,4.981547,0
40,23,1,0,3,1,0,2,2,0,0,22.95637,0
319,37,1,1,2,1,2,2,2,3,0,12.22597,1
3346,24,2,1,1,2,3,1,4,0,3,18.54921,1
2378,21,1,1,1,2,1,2,4,1,5,31.1895,1
483,19,2,1,1,2,1,2,4,2,1,15.99082,1
123,35,1,1,2,2,1,2,2,0,1,15.53384,0
382,20,2,1,1,2,2,2,3,0,1,3.758079,1
46,21,2,1,1,2,0,1,2,0,0,1.297744,0
2243,17,2,9,1,2,1,0,1,1,0,25.96162,1
99,33,1,1,2,2,0,2,2,0,0,4.045104,0
364,22,1,1,2,2,2,1,2,0,0,16.79151,1
443,34,1,1,3,1,1,2,2,1,10,13.29974,0
2425,18,1,1,1,2,2,2,3,0,1,26.01134,1
450,27,2,1,2,2,1,2,2,0,0,13.40907,0
472,18,1,1,1,2,1,2,3,0,1,20.41194,1
543,19,2,0,1,2,0,1,3,2,1,9.584811,1
51,22,1,1,1,2,1,1,2,0,0,1.268754,0
41,28,1,1,2,2,0,2,2,0,10,1.84044,0
3664,29,2,1,2,2,3,0,3,0,3,23.92206,1
46,32,1,0,1,2,0,2,2,0,10,1.297744,0
154,21,2,1,2,2,4,2,8,1,0,12.45955,1
3459,23,2,1,2,2,4,2,5,0,0,22.87155,1
3369,43,2,1,3,1,4,2,5,1,0,19.61652,1
2098,22,2,1,1,2,2,2,3,0,1,18.08313,1
2142,20,1,0,1,2,1,2,3,0,1,17.45699,1
197,42,1,0,1,1,1,1,2,1,10,3.068222,0
173,22,1,1,2,1,0,2,2,0,1,4.036774,0
436,26,1,1,2,2,3,2,3,0,3,13.3256,1
3337,39,2,1,3,1,1,1,2,2,0,9.106768,1
3669,87,2,1,1,1,1,2,1,0,0,18.74383,0
153,20,2,1,2,2,2,2,3,0,3,12.76167,1
172,37,1,0,1,2,2,0,4,1,1,4.945424,1
541,21,1,1,1,2,2,0,3,0,0,12.29575,1
305,21,1,1,2,1,4,2,4,0,1,13.74944,1
66,40,1,1,2,1,0,2,2,0,1,2.298354,0
133,30,1,0,1,2,0,1,2,0,1,9.268492,0
4120,28,1,0,1,1,2,2,4,2,8,3.140971,1
389,18,1,0,2,2,2,2,4,1,1,18.59173,1
133,34,1,1,1,1,1,1,2,1,0,9.268492,0
314,23,1,1,2,2,1,2,2,1,0,10.80952,1
319,31,2,0,1,2,2,2,3,3,0,12.22597,1
270,32,1,1,2,2,1,2,2,0,0,5.530276,0
3485,22,2,1,3,2,2,0,4,0,3,18.40419,1
3642,22,1,1,2,1,4,2,4,0,0,7.879531,1
601,23,1,9,2,1,2,0,4,0,1,24.21564,1
3192,24,2,9,2,2,5,0,5,0,0,19.83171,1
191,59,1,1,1,1,3,2,2,0,3,5.659206,0
1075,24,1,9,1,2,3,0,4,0,0,49.7163,1
2364,28,1,1,3,1,3,2,3,0,0,18.48751,1
51,33,2,1,3,2,1,2,2,2,0,1.268754,0
2108,21,2,1,1,2,3,2,3,1,1,23.32801,1
3370,36,1,1,3,1,2,2,2,0,3,18.14081,0
46,24,1,1,1,2,0,1,1,0,10,1.297744,0
504,42,2,1,3,1,2,2,2,2,0,15.84818,1
481,20,1,0,2,2,0,2,2,0,1,16.75457,1
3683,60,2,1,3,1,2,2,2,0,0,31.64719,0
2442,20,1,0,2,2,1,2,4,1,0,39.13529,1
507,21,1,1,2,2,2,1,5,1,1,10.45452,1
401,18,1,0,1,2,1,0,3,2,8,8.495579,1
1254,23,2,1,2,1,3,2,5,0,3,13.32024,1
3668,21,2,1,2,2,3,2,5,0,3,18.63411,1
49,19,1,0,1,2,1,1,2,0,10,0.881096,0
4125,27,2,1,3,1,2,1,5,0,0,35.95922,1
139,31,1,0,3,1,0,0,3,0,0,10.98513,1
3810,25,2,1,1,2,3,2,6,2,3,11.68384,1
3651,17,2,0,1,2,1,2,2,1,5,28.19253,1
3431,21,1,1,1,2,4,2,4,0,3,21.43759,1
187,29,1,1,3,1,1,2,2,0,2,2.357666,0
3870,44,2,1,3,1,1,1,2,2,0,0,0
551,20,2,0,1,2,2,2,4,0,1,14.4526,1
427,30,1,0,3,2,0,1,2,0,0,12.5365,0
3718,23,2,1,3,1,1,1,5,0,1,20.92182,1
1181,20,1,1,2,2,2,2,4,1,1,5.211246,1
586,22,2,1,2,2,3,2,3,1,1,18.29773,1
2362,21,1,0,1,2,1,1,2,0,1,20.90733,1
137,18,1,1,1,2,2,2,4,0,1,12.38202,1
3649,21,1,0,2,1,2,2,4,1,8,19.26566,1
222,21,1,0,1,2,1,1,4,3,1,4.242146,1
1243,18,2,1,2,2,2,2,3,0,1,6.41697,1
188,28,2,1,1,2,0,2,2,1,1,3.070265,0
3648,38,2,1,3,1,2,2,2,4,0,21.87821,1
71,18,1,1,1,2,0,0,1,0,10,1.132351,0
232,36,1,1,1,1,1,2,2,2,1,11.54252,1
46,20,1,1,1,2,0,0,2,0,10,1.297744,0
3491,25,1,1,3,1,4,2,5,0,0,17.2367,1
3491,20,1,1,1,2,4,2,5,0,8,16.20468,1
214,32,1,1,3,1,1,2,2,0,0,8.423377,0
363,20,2,0,1,2,1,2,2,2,8,20.20584,1
341,19,2,0,1,2,1,1,3,0,0,11.54708,1
210,29,1,1,2,2,0,1,2,0,0,5.671636,0
110,18,2,0,1,2,0,2,2,0,1,5.461931,0
454,35,1,0,3,1,0,2,2,0,0,11.74369,0
94,22,1,1,3,2,0,1,1,0,0,2.215019,0
130,33,1,0,3,1,1,2,2,0,1,10.27829,0
119,20,2,1,1,2,2,2,3,2,1,6.027405,1
79,26,2,1,2,2,1,0,1,0,0,3.752367,0
3519,22,2,1,2,2,2,2,3,0,3,6.685555,1
51,23,2,1,1,2,2,0,2,0,10,1.268754,0
450,32,1,0,2,2,2,2,2,0,1,13.40907,0
376,21,2,0,2,2,1,1,3,0,0,2.63071,1
46,27,2,1,1,2,0,2,2,0,2,1.297744,0
82,36,2,9,3,1,0,2,1,0,0,3.891374,0
117,33,1,1,3,1,1,2,2,0,0,6.285935,0
172,21,1,0,1,2,2,2,4,0,1,4.945424,1
482,19,1,1,2,2,4,2,4,0,8,17.65182,1
343,27,1,1,3,1,2,0,3,0,0,9.426452,1
53,25,1,1,1,2,0,1,1,0,0,1.802905,0
108,34,2,1,3,1,1,2,2,0,0,4.154796,0
105,28,1,1,1,2,0,2,2,0,1,17.81042,0
3379,21,1,1,1,2,3,2,4,0,0,37.90907,1
3417,24,1,1,3,1,1,2,4,0,0,37.11228,1
237,23,2,0,1,2,3,0,3,1,1,12.33072,1
3459,18,1,1,2,2,2,2,3,0,0,41.71103,1
4036,21,2,1,1,2,2,2,3,1,3,37.45611,1
3668,20,1,9,1,2,1,1,2,0,0,0,0
3714,21,2,1,1,2,4,2,4,1,0,43.02018,1
20,25,1,1,3,1,2,0,3,0,0,2.035718,0
591,25,1,1,2,2,1,2,4,2,1,8.890799,1
512,22,2,1,1,2,0,2,3,0,0,19.06251,1
5191,24,2,1,2,2,2,1,2,0,3,2.612993,0
5171,35,2,1,1,2,0,0,2,3,1,4.395624,0
1065,18,1,1,2,2,3,2,4,0,4,38.59157,1
277,53,2,9,1,1,0,2,3,0,0,4.639445,0
2440,41,2,1,3,1,2,0,2,2,0,35.49768,1
467,19,2,0,1,2,2,0,6,0,1,16.5987,1
2252,21,2,1,1,2,2,0,4,1,0,88.68055,1
2455,18,2,0,2,2,2,2,3,2,8,34.68766,1
431,21,1,0,2,2,0,2,4,0,1,17.82133,1
239,20,2,0,2,2,0,1,2,0,0,14.23649,1
67,26,1,1,3,1,0,2,1,0,0,65.86788,0
4001,21,1,1,1,2,2,0,4,0,0,25.29587,1
1107,18,2,1,2,2,2,2,3,1,4,52.17365,1
18,17,1,0,1,2,1,2,3,1,8,1.238364,1
173,28,1,1,2,2,0,0,1,0,2,5.553314,0
2607,19,1,1,2,2,2,2,5,0,0,13.92507,1
2620,20,1,0,2,2,4,2,4,1,8,16.87953,1
2040,22,2,1,2,2,3,2,3,1,1,24.95011,1
3517,22,2,0,1,2,3,2,5,1,1,31.53313,1
2133,34,1,1,2,1,2,1,2,1,3,25.45609,0
265,18,2,0,1,2,1,1,6,0,1,5.351092,1
18,51,2,0,1,2,0,1,2,3,1,1.927948,1
2442,18,2,0,2,2,1,0,3,1,1,31.5301,1
523,20,2,1,2,2,3,2,3,1,1,15.25818,1
465,26,1,1,1,1,1,1,2,0,0,3.269149,0
5105,17,2,1,1,2,2,2,1,1,3,7.044573,0
62,38,1,1,2,1,0,2,2,0,0,3.723266,0
3682,23,2,1,2,2,2,2,3,2,0,53.81474,1
3617,24,2,1,3,1,3,2,4,0,0,39.00734,1
3643,26,2,0,3,1,1,2,2,0,0,18.70079,0
258,31,1,1,1,2,2,0,2,0,3,73.90235,0
2207,29,1,1,1,1,1,2,2,1,0,87.22213,0
250,28,1,1,3,1,0,2,2,0,0,8.49494,0
586,26,1,1,1,2,1,2,3,0,1,17.6223,1
48,63,1,1,3,1,1,2,2,0,10,2.307308,0
1082,19,1,1,2,2,2,0,3,0,0,14.51405,1
389,20,2,0,1,2,2,2,4,0,8,9.007778,1
431,49,2,1,2,1,2,2,3,1,0,16.44023,1
194,29,1,0,3,1,0,2,2,0,0,11.29191,0
2036,18,1,1,1,2,2,2,3,1,0,26.923,1
5175,22,1,1,2,2,1,2,2,0,10,0.731925,0
106,27,2,1,3,1,1,2,3,0,0,7.130624,0
450,23,2,1,1,2,1,1,3,1,3,78.29689,1
4119,25,2,1,2,2,3,2,4,0,3,43.19673,1
3494,25,1,1,1,2,2,2,5,0,5,36.5226,1
452,24,2,1,3,2,0,1,2,0,0,12.20623,0
2258,30,2,1,3,1,2,2,3,0,0,28.94245,1
3691,31,1,1,3,1,3,2,4,0,0,31.22874,1
17,56,2,1,2,2,0,2,1,0,1,1.255547,0
385,27,1,1,2,2,3,1,5,1,0,23.12245,1
282,27,1,1,1,2,1,2,2,0,1,5.417824,0
452,21,1,1,2,2,1,2,3,0,0,12.26375,1
2427,21,1,1,1,2,1,2,3,1,5,28.51629,1
280,25,1,0,1,2,0,2,3,0,1,4.771492,0
483,23,2,1,2,2,0,0,3,0,1,1.872206,0
250,25,1,1,1,2,0,1,1,0,1,9.3684,0
1060,26,1,1,3,1,1,0,2,0,0,51.95794,0
234,25,1,0,1,1,1,2,2,0,1,2.979463,1
148,26,2,1,1,2,1,2,2,0,1,6.930545,0
25,37,1,9,1,2,1,1,1,3,10,1.040211,0
101,25,1,1,1,2,0,1,2,0,2,3.679839,0
454,33,2,1,3,1,1,2,2,0,0,11.74369,0
450,35,2,1,3,1,1,2,1,0,0,13.40907,0
3324,18,2,0,1,2,2,2,3,1,0,3.599065,1
104,22,2,0,1,2,1,2,2,0,0,3.631853,0
522,21,2,1,2,1,3,2,5,0,0,17.08575,1
456,22,2,1,1,2,2,2,4,0,1,13.58079,1
124,38,1,1,2,2,1,0,2,2,1,7.72636,0
40,34,2,1,3,1,0,2,2,0,0,1.461703,0
2057,21,2,1,1,2,4,0,6,0,3,13.73406,1
457,20,2,1,1,2,3,0,4,0,3,14.81024,1
66,21,1,1,1,2,0,1,2,0,10,2.298354,0
3716,18,2,0,1,2,1,2,3,0,1,24.45133,1
48,23,1,1,1,2,0,0,1,0,10,1.199355,0
3657,20,2,1,1,2,2,2,4,0,1,20.64166,1
48,23,1,1,1,2,0,2,1,0,10,1.199355,0
410,21,2,1,1,2,1,2,4,0,1,13.81012,1
3354,20,1,9,2,2,2,0,5,1,0,36.37372,1
178,23,1,1,1,2,1,1,2,0,1,7.788836,0
93,26,1,9,1,2,0,2,3,0,10,1.52827,0
2053,19,1,1,2,2,2,2,3,0,0,29.79281,1
1121,21,1,1,2,2,2,2,3,0,8,10.67074,1
3685,18,1,1,1,2,1,2,4,0,1,21.14893,1
63,21,2,0,1,2,0,0,1,0,1,2.662761,0
266,30,2,1,3,1,0,1,2,0,0,6.896745,0
2352,22,1,1,1,2,2,2,3,0,1,17.69989,1
3354,19,1,1,2,2,1,2,3,0,5,36.37372,1
74,21,1,1,3,1,0,2,5,0,0,0.699414,0
