HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Distance
264,25,9244,19,M,N,O,O,S,2,3,5,0,42.03,B,1300,5801.714
38,25,9243,22,M,Y,S,P,S,0,3,2,0,21.01,W,1000,1529.49
1039,25,9244,26,M,Y,O,O,S,3,7,5,1,16.17,D,700,32200.97
613,25,9244,19,M,Y,O,O,S,1,2,4,0,44.06,B,645,23502.05
4160,4160,9998,21,M,Y,M,P,P,4,7,3,0,32.75,9,-1,0
2053,25,9244,31,F,Y,G,F,P,1,7,2,0,12.52,9,-1,32690.45
5129,5198,9011,22,M,Y,O,O,S,2,1,4,0,110.4,B,840,6428.893
135,38,9031,32,F,Y,G,F,P,4,6,5,0,9.47,9,-1,16035.54
212,38,9031,30,F,Y,S,P,P,0,3,2,0,22.88,9,-1,6553.092
606,25,9244,24,F,Y,G,P,S,2,4,4,0,22.65,B,700,23044.5
523,38,9031,20,M,Y,S,P,S,2,3,3,1,39.6,B,600,15258.18
186,5198,9011,20,F,Y,O,O,S,2,6,4,0,16.42,9,-1,68094.88
4025,25,9244,20,F,Y,S,P,S,2,4,2,1,114.94,9,-1,34889.96
596,38,9031,21,F,Y,S,P,S,1,2,2,0,31.93,B,800,20937.72
3683,5198,9011,23,M,Y,O,O,S,2,7,3,0,23.59,B,1200,40516.45
2258,38,9031,20,M,Y,O,O,S,3,4,4,0,41.19,B,800,28241.17
46,38,9031,25,M,Y,O,O,S,2,7,2,0,26.72,B,1510,1368.845
47,25,9244,32,M,N,P,F,P,0,3,1,0,28.94,9,-1,3120.401
435,38,9031,26,F,Y,S,P,P,1,2,4,2,38.6,B,700,15343.01
327,38,9031,22,M,Y,O,O,S,2,7,3,0,127.77,B,1030,16609.91
4057,5119,9270,42,M,Y,M,F,P,2,5,2,2,44.41,9,-1,15959.51
5133,38,9031,59,F,Y,P,F,P,3,5,4,0,31.59,9,-1,71812.82
5074,5168,9272,41,F,Y,S,P,S,1,2,3,0,61.1,D,845,6893.901
3810,25,9244,20,F,Y,O,O,S,3,7,5,1,15.01,G,740,36328.29
161,25,9244,19,F,N,O,O,S,1,4,5,0,23.86,B,800,10320.33
409,25,9244,24,F,Y,P,P,P,0,2,3,0,46.49,9,-1,16870.74
400,25,9244,20,M,N,O,O,S,0,1,3,0,29.11,9,-1,19817.46
105,25,9243,56,M,N,P,F,P,0,6,2,0,4.72,9,-1,7567.728
4108,5198,9011,21,F,Y,S,P,S,3,5,3,0,24.62,D,800,36624.17
551,25,9244,23,M,N,O,O,S,2,6,4,0,12.55,B,1125,17134.51
3375,38,9031,39,F,Y,O,O,P,2,4,4,4,42.8,9,-1,40544.52
5050,5198,9011,21,M,Y,O,O,S,2,4,3,0,33.97,D,830,11977.4
3648,5198,9011,19,F,Y,O,O,S,2,5,3,1,15.71,9,-1,47080.21
3714,231,9022,27,F,Y,S,P,S,1,3,1,1,15.74,9,-1,41722.9
122,38,9031,47,M,Y,P,F,P,0,7,1,0,24.08,9,-1,9495.546
