HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
66,26478,29,3,Grad,FT,Live alone,FALSE,Local Transit,10.5,10,1,0,1,0,0,household_income_level__30000_59999
67,26121,22,4,Grad,FT,Live with partner,FALSE,Bike,2,10,2,0,2,1,1,household_income_level__0_29999
68,204,20,3,UG,FT,Live with family/parents,FALSE,Local Transit,26.5,5,5,0,5,0,0,household_income_level__0_29999
69,25495,22,3,UG,FT,Live with family/parents,FALSE,Solo Driver,32,5,4,0,4,5,1,household_income_level__i_dont_know
70,25526,22,0,Grad,FT,Live with partner,TRUE,Bike,0.75,10,2,0,2,1,1,unknown
71,26502,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,4.25,5,6,1,5,1,0,household_income_level__30000_59999
72,26226,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,23.75,5,5,0,5,1,0,unknown
73,26127,32,0,Grad,FT,Live alone,TRUE,Walk,1,10,1,0,1,0,1,unknown
74,227,41,4,Other,Other,Live with partner,FALSE,Bike,6,0,3,1,2,2,1,unknown
75,26134,23,1,Grad,FT,Live with partner,FALSE,Local Transit,2.75,10,2,0,2,0,1,household_income_level__30000_59999
76,25591,21,6,Grad,FT,Live alone,FALSE,Local Transit,24,10,2,0,2,0,0,household_income_level__0_29999
77,26538,25,1,Grad,FT,Live alone,FALSE,Local Transit,4.5,10,1,0,1,0,1,household_income_level__0_29999
78,235,22,1,Grad,FT,Live with roommates,FALSE,Walk,2,10,2,0,2,0,1,unknown
79,25576,22,2,UG,FT,Live with roommates,FALSE,Walk,1,6,4,0,4,0,1,unknown
80,26231,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,6,5,5,0,5,2,0,unknown
81,26146,31,7,Grad,FT,Live with roommates,FALSE,Other,25.75,10,2,0,2,0,0,household_income_level__30000_59999
82,25598,21,3,UG,FT,Live with roommates,FALSE,Walk,1.25,6,5,0,5,0,1,unknown
83,25583,21,0,UG,FT,Live with roommates,TRUE,Walk,0.75,2,3,0,3,0,0,unknown
84,26545,44,9,Grad,FT,Live with family/parents,FALSE,Regional Transit,22,9,3,1,2,2,1,household_income_level__90000_119999
85,241,24,1,Grad,FT,Live with family/parents,FALSE,Walk,1,9,3,0,3,2,1,unknown
86,26260,18,1,UG,FT,Live with family/parents,FALSE,Local Transit,7.5,5,4,1,3,2,1,unknown
87,26154,19,1,UG,FT,Live with partner,FALSE,Walk,0.5,6,2,0,2,0,1,household_income_level__0_29999
88,26550,25,1,Other,Other,Live with partner,FALSE,Walk,1,0,2,0,2,0,0,household_income_level__0_29999
89,276,23,1,Grad,FT,Live with roommates,FALSE,Local Transit,5.25,10,2,0,2,1,1,household_income_level__30000_59999
90,26166,39,1,Grad,FT,Live with family/parents,FALSE,Local Transit,6,9,4,2,2,1,1,household_income_level__i_dont_know
91,25600,22,4,UG,FT,Live alone,FALSE,Walk,1.25,6,1,0,1,0,0,unknown
92,25633,22,4,UG,FT,Live with roommates,FALSE,Walk,1,6,2,0,2,0,0,unknown
93,26267,19,1,UG,FT,Live with family/parents,FALSE,Rideshare,5.25,5,4,0,4,3,1,household_income_level__i_dont_know
94,26576,57,2,UG,PT,Live with family/parents,FALSE,Local Transit,4,7,2,0,2,1,1,household_income_level__i_dont_know
95,26274,22,1,UG,FT,Live alone,FALSE,Walk,0.75,6,1,0,1,0,1,unknown
96,282,19,1,UG,FT,Live with family/parents,FALSE,Rideshare,13,5,4,1,3,1,1,unknown
97,25624,24,0,Grad,FT,Live with roommates,TRUE,Local Transit,5.25,10,3,0,3,1,1,unknown
98,26173,22,0,Grad,FT,Live with partner,TRUE,Bike,1.25,10,2,0,2,1,1,household_income_level__30000_59999
99,25650,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,13.5,5,6,2,4,2,1,household_income_level__180000_209999
100,330,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,18,5,4,0,4,2,0,household_income_level__120000_149999
101,26584,19,2,UG,FT,Live with roommates,FALSE,Bike,0.75,6,3,0,3,1,1,unknown
102,26179,23,1,Grad,FT,Live with family/parents,FALSE,Local Transit,12.25,9,3,0,3,3,1,household_income_level__240000_plus
103,25642,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,22,5,4,1,3,0,0,unknown
104,26320,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,6,5,3,0,3,1,0,household_income_level__60000_89999
105,25656,22,4,UG,PT,Live with family/parents,FALSE,Local Transit,21.25,7,5,0,5,3,0,unknown
106,354,19,2,UG,FT,Live with family/parents,FALSE,Solo Driver,9.75,5,4,0,4,4,1,unknown
107,26185,28,5,Grad,FT,Live with roommates,FALSE,Bike,2.5,10,5,0,5,1,1,household_income_level__i_dont_know
108,25648,19,1,UG,FT,Live with family/parents,FALSE,Rideshare,7,5,4,0,4,1,0,unknown
109,26600,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,24.25,5,5,2,3,1,1,household_income_level__i_dont_know
110,26344,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,6.75,5,4,1,3,1,1,household_income_level__30000_59999
111,26203,20,2,UG,FT,Live alone,FALSE,Walk,0.75,6,1,0,1,0,1,household_income_level__i_dont_know
112,25687,22,3,UG,FT,Live with roommates,FALSE,Local Transit,2.75,6,2,0,2,0,1,household_income_level__0_29999
113,19,22,3,UG,FT,Live with roommates,FALSE,Walk,1.5,6,2,0,2,0,0,household_income_level__30000_59999
114,25664,21,4,Grad,FT,Live with roommates,FALSE,Walk,0.75,10,3,0,3,0,0,unknown
115,26221,24,6,Grad,FT,,FALSE,Walk,1.25,10,1,0,1,0,1,household_income_level__0_29999
116,26380,39,6,Grad,FT,Live with family/parents,FALSE,Local Transit,5.5,9,4,2,2,1,1,household_income_level__150000_179999
117,26,18,0,UG,FT,Live with family/parents,TRUE,Rideshare,22.25,1,5,0,5,1,1,household_income_level__i_dont_know
118,378,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,9.25,5,3,0,3,2,1,household_income_level__i_dont_know
119,25732,28,4,Grad,FT,Live with roommates,FALSE,Local Transit,22.25,10,2,0,2,0,0,household_income_level__30000_59999
120,384,26,0,UG,FT,Live with family/parents,TRUE,Local Transit,20.5,1,5,0,5,0,1,household_income_level__0_29999
121,26404,25,7,Grad,FT,Live with roommates,FALSE,Walk,1,10,2,0,2,0,0,household_income_level__i_dont_know
122,25735,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,1.75,5,3,0,3,2,1,unknown
123,26272,20,2,UG,FT,Live alone,FALSE,Walk,0.75,6,1,0,1,0,1,unknown
124,37,23,0,Grad,PT,Live alone,TRUE,Walk,0.25,12,1,0,1,0,1,household_income_level__0_29999
125,390,20,2,UG,FT,Live with roommates,FALSE,Walk,0.75,6,2,0,2,0,1,household_income_level__90000_119999
126,25738,24,0,Grad,FT,Live with partner,TRUE,Bike,2.5,10,2,0,2,1,1,unknown
127,26279,21,0,Grad,FT,Live with roommates,TRUE,Local Transit,3.75,10,2,0,2,0,1,unknown
128,25742,31,0,Grad,FT,Live alone,TRUE,Bike,5.25,10,1,0,1,0,1,unknown
129,26416,19,1,UG,FT,Live with roommates,FALSE,Walk,0.5,6,5,0,5,0,0,unknown
130,25749,18,0,UG,FT,Live with roommates,TRUE,Local Transit,0.25,2,1,0,1,0,0,unknown
131,68,25,7,Grad,FT,Live with family/parents,FALSE,Local Transit,21,9,4,0,4,2,0,household_income_level__i_dont_know
132,459,24,2,Grad,FT,Live with family/parents,FALSE,Regional Transit,46.75,9,3,0,3,1,1,unknown
133,26285,17,0,UG,FT,Live with family/parents,TRUE,Bike,2,1,4,2,2,1,0,household_income_level__150000_179999
134,25760,19,1,UG,FT,Live with roommates,FALSE,Local Transit,1.25,6,4,0,4,0,1,unknown
135,26422,57,0,UG,PT,Live with partner,TRUE,Local Transit,1.75,4,2,0,2,1,1,household_income_level__180000_209999
136,25761,19,1,UG,FT,Live with roommates,FALSE,Walk,1,6,4,0,4,0,1,household_income_level__i_dont_know
137,92,21,3,UG,FT,Live with partner,FALSE,Solo Driver,7,6,2,0,2,2,1,household_income_level__i_dont_know
138,466,35,1,Grad,FT,Live with family/parents,FALSE,Local Transit,94.25,9,3,0,3,0,0,unknown
139,26428,22,4,UG,FT,Live with roommates,FALSE,Walk,1.25,6,3,0,3,0,1,household_income_level__30000_59999
140,25768,21,3,UG,FT,Live with family/parents,FALSE,Regional Transit,45,5,5,2,3,3,1,household_income_level__150000_179999
141,26317,24,2,Grad,FT,Live with roommates,FALSE,Regional Transit,102.5,10,3,0,3,2,1,unknown
