MI,OC,RY,SC,SG,YG,YK,Origin
0.0,0.0007692307692307692,0.6844927757427754,0.2896097883597883,0.014871794871794873,0.007606837606837606,0.00264957264957265,1
0.009729926935809288,0.044855957542978005,0.37859554813766905,0.08721591547615089,0.3048913113483511,0.06105446442401617,0.11365687613502536,2
0.009008787489372196,0.06095382050894571,0.37836398341885835,0.036191468253968254,0.3107221572437462,0.03783567544258587,0.16692410764252336,3
0.0026526315789473687,0.017411240351468057,0.4726036304535705,0.2030024239580889,0.2506305570049185,0.014552207278569904,0.039147309374436605,4
0.028430644300360942,0.0391305171530978,0.26398334516627164,0.04646182795698924,0.5784757765855999,0.0014451612903225808,0.04207272754735781,5
0.007141980955061451,0.033782859966075045,0.4045775842567689,0.13516755262645705,0.3103118014775881,0.04086913698864478,0.06814908372940459,6
0.009552405927405926,0.0451338083078831,0.3289892920471032,0.12563046386255525,0.3192963516481702,0.048236149189672256,0.12316152901720988,7
0.012623834498834498,0.02941592619369618,0.35958464413198316,0.12057420701951244,0.3177098529813615,0.06053839452505844,0.09955314064955362,8
0.0038978696741854635,0.017314239681886737,0.3412229235986639,0.14450440863484343,0.41073528849218705,0.021431275423922487,0.06089399449431082,9
0.0023896279159437055,0.020453504828504828,0.07100903628535207,0.12614892052392052,0.766841836526047,0.003,0.010157073920231817,10
0.0054318121809540576,0.030012807085387734,0.15094883923665964,0.1161434857413118,0.6709319224252187,0.003833333333333333,0.02269779999713478,11
0.003014627915943705,0.02330765068265068,0.117956965806811,0.11578528416028414,0.7212590932888919,0.003,0.015676378145418394,12
0.0,0.05332369507240788,0.07278686779007836,0.3735886951371793,0.4514666858809279,0.0,0.048834056119406846,13
0.0,0.026822794657033792,0.07020059218157045,0.7142770951874214,0.16350264138035878,0.0011111111111111111,0.024085765482504618,14
0.0,0.08718611226235064,0.08498710147781352,0.09979883021175587,0.6399715576391275,0.0,0.08805639840895255,15
0.0,0.09134248104836339,0.41300372748166864,0.0,0.49565379146996796,0.0,0.0,16
0.0,0.07437056953377691,0.4855308797887822,0.03937992433704768,0.32263687421811915,0.0,0.07808175212227397,17
0.0,0.034863665418284874,0.3309296497522397,0.10290834990815093,0.462185731942673,0.033878822080633975,0.03523378089801743,18
0.0,0.0,0.5296941946941945,0.09815867465867464,0.2475513653013652,0.0,0.12459576534576529,19
0.12099827949827946,0.0,0.2706197829947829,0.0,0.4931180069930071,0.0,0.11526393051393048,20
0.009678623922630455,0.02745292279986747,0.3118329984624837,0.026155304330471033,0.47970782990447147,0.030258720759972043,0.11491359982010366,21
0.0,0.08178181969869298,0.4372274843444168,0.03075776725785604,0.40937880875952315,0.014942624257154442,0.025911495682356515,22
0.026784981138957123,0.1348000254518493,0.3575531278052455,0.054851881354814454,0.37595305227914627,0.025159327209664212,0.024897604760322857,23
0.0,0.07553142256345038,0.48559854510807227,0.0,0.3106740348569471,0.0,0.12819599747153002,24
