,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD,SchoolName
69,3381,69,9103,21,F,Y,G,P,S,3,7,3,0,18.88,9,-1,40.19581,35,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
70,46,69,9103,35,M,Y,P,P,S,0,2,2,2,61.72,9,-1,1.297744,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
71,374,371,9261,23,F,N,O,O,S,2,2,4,0,16.87,9,-1,3.57044,9,HUMBER COLLEGE - NORTH CAMPUS
72,3656,371,9261,37,F,Y,G,F,P,2,5,2,1,7.45,9,-1,22.092760000000002,36,HUMBER COLLEGE - NORTH CAMPUS
73,3686,371,9261,25,F,Y,O,O,S,2,3,2,0,15.7,D,830,18.811729999999997,36,HUMBER COLLEGE - NORTH CAMPUS
75,196,69,9103,75,M,Y,O,O,P,1,4,2,0,20.04,9,-1,8.466409,4,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
76,3686,371,9261,20,M,Y,P,F,P,2,6,3,0,12.56,9,-1,18.811729999999997,36,HUMBER COLLEGE - NORTH CAMPUS
77,1241,1199,E0297,20,F,Y,O,O,S,3,4,4,0,73.27,9,-1,5.503831999999999,24,UOIT - DOWNTOWN CAMPUS
78,47,69,9103,20,F,N,O,O,S,0,7,2,0,22.65,W,1010,1.063099,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
79,21,69,9103,29,M,Y,P,P,S,1,7,2,0,5.06,W,800,2.04452,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
80,353,69,9103,21,M,Y,G,P,S,4,7,5,1,26.3,B,815,15.804789999999999,8,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
81,3622,371,9261,31,F,Y,S,F,P,2,4,5,0,14.61,9,-1,14.477429999999998,36,HUMBER COLLEGE - NORTH CAMPUS
82,3337,371,9261,25,M,Y,S,P,P,2,2,3,0,4.74,9,-1,9.106767999999999,35,HUMBER COLLEGE - NORTH CAMPUS
85,41,69,9103,26,F,Y,O,O,S,1,7,2,0,23.63,9,-1,1.84044,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
