Code,Name
1138,BRIARCREST JUNIOR SCHOOL  --
1139,BROADACRES JUNIOR PUBLIC SCHOOL  --
114,ERNEST C DRURY HIGH SCHOOL  --
1141,CHILDRENS AID SOCIETY - ETOBICOKE  --
1144,DAVID HORNELL JUNIOR SCHOOL  --
1145,DON BOSCO CATHOLIC SECONDARY SCHOOL  --
1146,EATONVILLE JUNIOR PUBLIC SCHOOL  --
1147,ECOLE SAINTE MARGUERITE DYOUVILLE  --
1148,ELMLEA JUNIOR SCHOOL  --
1149,FATHER JOHN REDMOND CATHOLIC SECONDARY SCHOOL  --
115,EAGLE RIDGE PUBLIC SCHOOL  --
1151,HOLLYCREST MIDDLE SCHOOL  --
1152,HOLY CHILD CATHOLIC SCHOOL  --
1153,HUMBER VALLEY VILLAGE JUNIOR & MIDDLE SCHOOL  --
1154,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY  --
1155,JOHN ENGLISH JUNIOR & MIDDLE SCHOOL  --
1156,KIPLING COLLEGIATE INSTITUTE  --
1157,LAKESHORE COLLEGIATE INSTITUTE  --
1158,LAMBTON-KINGSWAY JUNIOR MIDDLE SCHOOL  --
1159,MARIAN ACADEMY SECONDARY SCHOOL  --
116,EAST METRO - SCARBOROUGH  --
1160,MARTINGROVE COLLEGIATE INSTITUTE  --
1161,MADRESATUL BANAAT ALMUSLIMAAT  --
1162,MELODY VILLAGE JUNIOR SCHOOL  --
1163,MICHAEL POWER & ST JOSEPH HIGH SCHOOL  --
1164,MILL VALLEY JUNIOR SCHOOL  --
1165,MILLWOOD JUNIOR SCHOOL  --
1166,MONSIGNOR PERCY JOHNSON CATHOLIC HIGH SCHOOL  --
1167,MOTHER CABRINI CATHOLIC SCHOOL  --
1168,MONSIGNOR FRASER COLLEGE (ISLINGTON CAMPUS)  --
1169,NATIVITY OF OUR LORD SEPARATE SCHOOL  --
117,ECOLE ELEMENTAIRE JEUNESSE HORIZON
1170,NORTH KIPLING JUNIOR MIDDLE SCHOOL  --
1172,PARKFIELD JUNIOR SCHOOL  --
1173,PRINCESS MARGARET JUNIOR SCHOOL  --
1174,RICHVIEW COLLEGIATE INSTITUTE  --
1175,SCHOOL OF EXPERIENTIAL EDUCATION  --
1176,SENECA SCHOOL  --
1177,SILVERTHORN COLLEGIATE INSTITUTE  --
1178,ST CLEMENT SEPARATE SCHOOL  --
1179,ST DEMETRIUS SEPARATE SCHOOL  --
118,ECOLE HORIZON JEUNESSE  --
1180,ST LOUIS SEPARATE SCHOOL  --
1181,VALLEYFIELD JUNIOR SCHOOL  --
1182,WELLESWORTH JUNIOR SCHOOL  --
1183,WEST GLEN JUNIOR SCHOOL  --
1184,ETOBICOKE YEAR ROUND ALTERNATIVE SECONDARY SCHOOL
119,EDENBROOK HILL PUBLIC SCHOOL  --
12,ST MARK  --
120,EDMISON HEIGHTS PUBLIC SCHOOL  --
1201,BLOORLEA MIDDLE SCHOOL  --
1203,ISLINGTON JUNIOR & MIDDLE SCHOOL  --
1204,JOHN G ALTHOUSE JUNIOR & MIDDLE SCHOOL  --
1205,OUR LADY OF PEACE SEPARATE SCHOOL  --
1206,ROSETHORN JUNIOR SCHOOL  --
1207,ST ELIZABETH CATHOLIC SCHOOL  --
1208,ST GEORGES JUNIOR SCHOOL  --
1209,ST GREGORY SEPARATE SCHOOL  --
121,EDWARD JOHNSON PUBLIC SCHOOL  --
1210,WEDGEWOOD JUNIOR SCHOOL  --
1218,YESHIVAT OR CHAIM  --
1219,YESHIVA NACHALAS ZVI  --
1223,A Y JACKSON SECONDARY SCHOOL  --
1229,ADVENTURE PLACE - NORTH YORK  --
123,ST LOUIS ADULT LEARNING CTR - WATERLOO  --
1231,AVONDALE ALTERNATIVE SECONDARY SCHOOL  --
1232,AMESBURY MIDDLE SCHOOL  --
1233,ANCASTER PUBLIC SCHOOL  --
1234,ANTROPOS NETWORKING TECHNOLOGIES INC  --
1235,ARBOR GLEN PUBLIC SCHOOL  --
1237,ARMOUR HEIGHTS PUBLIC SCHOOL  --
1238,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL  --
1239,BATHURST HEIGHTS SECONDARY SCHOOL  --
124,UPTERGROVE PUBLIC SCHOOL  --
1240,BAYCREST PUBLIC SCHOOL  --
1241,BAYVIEW MIDDLE SCHOOL  --
1242,BEVERLEY HEIGHTS MIDDLE SCHOOL  --
1243,BLACKSMITH PUBLIC SCHOOL  --
1244,BLAYDON PUBLIC SCHOOL  --
1245,BRIAN PUBLIC SCHOOL  --
1246,BROADLANDS PUBLIC SCHOOL  --
1247,CRESTWOOD COLLEGE  --
1248,BROOKHAVEN PUBLIC SCHOOL  --
1249,BROOKVIEW MIDDLE SCHOOL  --
125,FOURTH PEEL PAROCHIAL
1250,BUSINESS & INFO TECHNOLOGY ACADEMY - EGLINTON  --
1251,C W JEFFERYS COLLEGIATE INSTITUTE  --
1252,CALICO PUBLIC SCHOOL  --
1253,CAMERON PUBLIC SCHOOL  --
1254,CANADIAN AESTHETIC ACADEMY - NORTH YORK  --
1255,BAIS BRACHA GIRLS ELEMENTARY SCHOOL  --
1257,YESHIVA DARCHEI TORAH  --
1258,CASSANDRA PUBLIC SCHOOL  --
126,KORTRIGHT HILLS PUBLIC SCHOOL  --
1260,CHALKFARM PUBLIC SCHOOL  --
1261,CHARLES H BEST MIDDLE SCHOOL  --
1262,CHARLES H BEST MIDDLE SCHOOL  --
1263,CHEROKEE PUBLIC SCHOOL  --
1264,CHURCHILL PUBLIC SCHOOL  --
1265,CLAUDE WATSON SCHOOL FOR THE ARTS  --
1266,CLIFFWOOD PUBLIC SCHOOL  --
1267,COMPUTEK INSTITUTE OF TECHNOLOGY - NORTH YORK  --
1268,CAREER EMPLOYMENT RESOURCE PROGRAM  --
1269,CRESTHAVEN PUBLIC SCHOOL  --
127,EMMANUEL CHRISTIAN HIGH SCHOOL  --
1270,CRESTVIEW PUBLIC SCHOOL - NORTH YORK  --
1271,CUMMER VALLEY MIDDLE SCHOOL  --
1272,DALLINGTON PUBLIC SCHOOL  --
1273,DAYSTROM PUBLIC SCHOOL  --
1274,DELLCREST SCHOOL  --
1276,DENLOW PUBLIC SCHOOL  --
1277,DERRYDOWN PUBLIC SCHOOL  --
1278,DON MILLS COLLEGIATE INSTITUTE  --
1279,DON MILLS MIDDLE SCHOOL  --
128,SCHOLARS HALLS  --
1282,DONVIEW MIDDLE SCHOOL  --
1283,DOWNSVIEW PUBLIC SCHOOL  --
1284,DOWNSVIEW SECONDARY SCHOOL  --
1285,DREWRY SECONDARY SCHOOL  --
1286,DRIFTWOOD PUBLIC SCHOOL  --
1287,DUBLIN HEIGHTS PUBLIC SCHOOL  --
1288,DUNLACE PUBLIC SCHOOL  --
1289,DURHAM BUSINESS & COMPUTER COLLEGE - TORONTO  --
129,NORTH WOOLWICH PAROCHIAL SCHOOL
1290,EARL HAIG SECONDARY SCHOOL  --
1291,ECOLE ELEMENTAIRE ETIENNE BRULE  --
1292,ECOLE ELEMENTAIRE JEANNE LAJOIE  --
1293,ECOLE SECONDAIRE ETIENNE BRULE  --
1294,SAINTE-MADELEINE CATHOLIQUE ELEMENTAIRE ECOLE  --
1295,ELIA MIDDLE SCHOOL  --
1296,EMERY COLLEGIATE INSTITUTE  --
1297,ERNEST PUBLIC SCHOOL  --
