HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
4173,25,9243,19,M,Y,O,O,S,4,7,4,2,3.6,G,600
24,38,9031,21,F,Y,P,P,S,0,2,2,0,127.84,W,950
3694,465,550,23,F,Y,O,O,S,3,5,4,0,14.8,D,900
337,25,9244,23,M,Y,O,O,S,3,7,4,0,14.91,B,1215
463,38,9031,35,M,Y,O,O,S,1,1,2,0,20.27,B,900
3354,38,9031,20,F,Y,S,P,S,3,4,4,3,8.11,J,920
3369,2667,9290,25,F,Y,9,P,S,3,7,4,1,75.75,D,800
343,25,9244,24,M,Y,S,P,S,2,6,4,0,15.76,B,1030
571,25,9244,18,M,Y,O,O,S,3,6,4,0,25.0,J,655
407,25,9244,19,M,9,O,O,S,1,7,4,0,4.6,P,715
5175,5198,9011,22,M,Y,S,P,S,1,2,4,0,45.11,C,1230
5175,5198,9011,27,M,Y,O,O,S,1,2,4,0,45.11,D,1500
347,5198,9011,30,M,Y,P,F,P,1,4,2,0,19.3,D,1730
3650,38,9031,28,F,N,9,P,S,1,7,2,0,7.36,G,1115
3691,38,9031,21,M,Y,O,O,S,2,3,3,2,33.79,B,800
2366,38,9031,21,M,Y,S,P,S,1,5,3,0,22.63,B,1100
383,38,9031,18,M,Y,O,O,S,1,7,3,0,28.13,B,600
3448,25,9244,19,F,Y,O,O,S,3,7,5,1,5.57,G,650
184,25,9244,19,M,N,O,O,S,2,6,3,1,60.81,B,1305
293,38,C201,19,F,N,S,P,S,1,2,3,0,19.66,B,1200
366,38,9031,29,F,N,O,O,S,2,3,3,0,13.7,B,930
290,25,9244,51,F,N,G,F,P,1,4,3,0,7.39,B,1630
3654,38,9031,19,F,Y,O,O,S,3,7,6,0,22.98,B,730
5171,5198,9011,32,M,Y,P,P,S,0,3,2,0,34.4,B,1015
248,25,9244,19,F,N,O,O,S,3,4,4,0,11.03,B,800
1046,38,9031,30,M,Y,M,F,P,4,3,4,0,25.09,D,1400
270,38,9031,21,M,N,O,O,S,2,6,3,0,29.41,B,1000
537,25,9244,19,F,Y,S,P,S,3,6,5,1,20.26,B,800
2108,25,9244,31,M,Y,O,O,S,4,6,5,0,14.7,D,600
328,38,9031,20,M,N,S,P,S,1,7,3,0,20.15,W,800
564,38,9031,36,M,Y,P,F,P,2,6,4,0,23.22,B,1815
3691,38,9031,22,F,Y,P,P,S,3,4,4,2,36.24,P,1015
3688,5198,9011,18,M,N,O,O,S,1,3,2,0,51.04,B,715
178,38,9031,18,F,Y,S,P,S,2,4,4,0,23.19,B,800
