,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1,-1.465522501,-1.78495403,-0.511324505,-2.77568701,-0.699608733,-2.536385474,-0.090861993,0.326230733,0.213933698,0.214186817,0.214045624,0.093223136,0.325331981
2,-2.076318999,-2.042734484,-0.518335515,-1.785750016,0.84232202,-3.586599499,-0.095232154,0.418064516,0.077401896,0.398388692,0.196465471,0.199263508,0.197192958
3,-0.838927583,-1.150382242,-0.135874675,-2.29427788,0.013858766,-2.112516889,-0.06648308,0.23899518,0.040788959,0.241350403,0.179646779,0.179324023,0.179422895
4,-0.985514845,-1.359533165,0.029684106,-1.941204002,-0.902530285,-2.179113094,-0.174075387,0.492414996,0.297803559,0.490793531,0.404741531,0.40803592,0.406227935
5,-1.472362993,-1.909158604,-0.438815275,-2.716634299,-0.841082191,-2.079048758,-0.075705161,0.304057971,0.065403342,0.29993153,0.185530027,0.186967262,0.185711005
6,-3.563307289,-3.644707487,-1.258764918,-4.967275371,-1.69946924,-3.98197485,-0.05429125,0.476056338,0.015799618,0.475930439,0.160394138,0.162081746,0.160892543
7,-2.30559987,-2.310074899,-0.585953862,-4.334850893,-2.279148331,-3.988665091,-0.10177066,0.577570093,0.100752445,0.579507587,0.196183972,0.193919664,0.19486723
8,-4.897781058,-5.071526035,-0.625200428,-4.076467014,-1.815634258,-2.741149209,-0.075056068,0.47,0.040483309,0.467729137,0.147175278,0.14822754,0.147508997
