"Segment","ASC_MI","ASC_OC","ASC_RY","ASC_SC","ASC_SG","ASC_YK","B_DIST","Accuracy","MacroPre","MacroRec","MacroF1","Matthews","AvePrObs"
"All",1.15720390610639,0.559316954320718,2.03558529314302,1.62459016392804,2.74336345548558,2.33342705740421,-0.093177929437319,0.116521145975443,0.13458400239298,0.143127691057894,0.0912399738277275,0.0127982393144558,0.329355271155408,
"0",-0.047266303853732,-0.0659677570333663,2.57630627262441,-0.470358660773505,1.87926182287001,1.58338136875511,-0.0963969957055555,0.0613861386138614,0.107791876749557,0.158444862660002,0.0577593656940529,0.0177260270286964,0.396007425807441,
"1",1.25319918695227,0.500587048592486,2.20880952849714,1.68150354450961,2.38150591258077,2.23726412480774,-0.0684248755074194,0.143103953147877,0.138018688677418,0.143137557225666,0.106219941758537,0.00827250701983884,0.244382643572973,
"2",0.8725376406828,0.246712780590887,1.22439791519183,1.59801177875302,2.38607421043951,2.30348628320934,-0.178162160938722,0.130789397028838,0.145225207148458,0.163338940028837,0.116216217698569,0.0493815620863652,0.497171533616642,
"3",0.366472608965551,0.26758894979062,1.06846273669662,1.30008819204135,2.37962632051773,1.77840285295511,-0.0774976235992286,0.128882438316401,0.138594770710975,0.158066687741174,0.0981634095620329,0.0178770572975093,0.304933792870476,
"4",1.07670902910481,0.430206817344045,2.72046878843633,0.884158940764638,3.94992879051513,3.03837579134108,-0.0559356210784386,0.0598108747044917,0.155650862520113,0.136076998018251,0.0482701951011869,0.0178673837264679,0.482074690348463,
"5",1.76408078494689,0.875099296732262,1.99851365988823,2.15756701323552,4.20502112374071,3.71575742397804,-0.107265197089961,0.066966696669667,0.139556771187334,0.151934890283028,0.059119864558385,0.0419989918254479,0.588361022073871,
"6",0.671197140336119,17.3299018035311,17.7149153226998,0.838757371867973,19.6441061345577,19.4487222506036,-0.0759142385602237,0.156676557863501,0.143964370689803,0.137059951048473,0.0688456850904163,0.0153211920085114,0.46918799419284,
