Family?,Home Zone,Cars,Children,Adults,Income,Gender,Age,Status,License,Distance,Employment,Mode
0,3663,0,0,2,1,1,22,2,0,1.5,1,10
0,73,0,0,3,0,1,21,2,0,0.75,0,10
1,269,1,2,2,2,1,39,2,1,5.5,0,1
1,3436,1,0,5,0,2,18,2,1,22.25,1,3
1,237,2,0,3,0,2,20,2,1,9.25,0,1
0,73,0,0,2,1,2,28,2,0,22.25,0,1
1,3863,0,0,5,1,2,26,2,1,20.5,0,1
0,67,0,0,2,0,2,25,2,0,1.0,0,10
1,21,2,0,3,0,2,21,2,1,1.75,0,1
0,48,0,0,1,0,1,20,2,1,0.75,0,10
0,69,0,0,1,1,1,23,1,1,0.25,1,10
0,46,0,0,2,2,1,20,2,1,0.75,0,10
0,103,1,0,2,0,2,24,2,1,2.5,0,2
0,107,0,0,2,0,2,21,2,1,3.75,0,1
0,115,0,0,1,0,1,31,2,1,5.25,0,2
0,567,0,0,5,0,1,19,2,0,0.5,0,10
0,3631,0,0,1,0,2,18,2,0,0.25,0,1
1,3665,2,0,4,0,1,25,2,0,21.0,2,1
1,4067,1,0,3,0,1,24,2,1,46.75,0,4
1,187,1,2,2,2,2,17,2,0,2.0,0,2
0,3664,0,0,4,0,1,19,2,1,1.25,0,1
0,77,1,0,2,2,1,57,1,1,1.75,0,1
0,3663,0,0,4,0,1,19,2,1,1.0,0,10
0,213,2,0,2,0,2,21,2,1,7.0,1,3
0,75,0,0,3,1,2,22,2,1,1.25,0,10
1,1123,3,2,3,2,2,21,2,1,45.0,0,5
1,620,2,1,4,0,1,17,2,0,22.0,0,1
0,101,0,0,6,0,1,24,2,1,3.5,2,1
0,70,0,0,3,2,2,23,2,0,0.5,0,2
0,566,1,1,3,0,2,17,2,0,0.5,0,10
1,569,2,1,4,0,2,24,2,0,23.0,0,1
0,420,0,0,2,1,1,22,2,0,11.25,0,1
1,588,2,1,4,0,1,20,2,1,16.25,0,1
1,463,1,1,3,2,2,19,2,0,12.0,2,1
1,3385,2,2,3,0,1,18,2,1,31.5,0,10
0,68,0,0,3,0,2,19,2,0,0.75,0,10
1,436,0,1,2,0,2,19,2,1,12.75,0,1
1,46,0,2,2,1,1,32,2,0,1.0,0,1
1,490,1,0,3,0,1,19,2,0,6.0,2,1
0,46,0,0,1,0,2,25,0,1,0.75,0,10
0,39,1,0,3,0,2,52,1,1,1.5,0,1
0,79,1,0,2,0,1,30,2,1,2.5,0,1
1,523,0,0,2,0,1,24,2,0,14.25,0,1
0,71,0,0,3,0,1,20,2,1,1.5,2,10
0,47,0,0,1,0,1,19,2,0,0.5,0,10
1,3812,3,0,6,2,1,20,2,1,50.75,1,3
0,8505,2,0,4,0,1,56,1,1,84.25,0,3
0,3655,2,0,4,0,1,22,2,1,1.75,1,3
1,3657,1,1,3,0,1,21,2,0,4.75,2,1
0,430,2,0,1,1,2,23,2,0,14.75,0,10
1,2357,3,0,5,0,1,21,2,1,18.5,0,1
1,3603,3,0,6,0,1,20,2,0,4.5,0,8
0,70,0,0,4,0,2,25,2,0,0.5,1,10
0,566,0,0,4,0,1,21,2,0,0.25,0,10
1,3436,2,1,3,0,1,20,2,0,52.75,0,1
0,68,1,0,3,1,2,23,2,0,1.0,0,10
1,3680,2,0,4,0,2,25,1,1,6.5,0,1
1,223,1,0,4,2,1,24,1,0,13.5,0,1
1,2426,1,1,2,0,2,19,2,0,10.25,1,1
0,46,0,0,2,0,2,34,2,0,0.75,0,10
1,3810,1,4,2,0,1,21,1,0,7.0,0,1
1,435,1,0,3,2,1,19,2,0,13.5,0,1
0,562,0,0,1,1,1,22,2,1,1.0,0,10
0,69,0,0,1,2,1,18,2,1,0.25,0,10
0,47,0,0,3,0,1,21,2,1,0.75,2,10
0,560,0,0,3,0,2,19,2,1,1.5,0,2
1,3619,3,0,3,2,1,22,2,1,9.0,0,3
0,48,0,0,2,1,2,27,2,1,0.75,0,2
0,46,0,0,2,0,1,31,2,0,1.0,0,10
0,187,0,0,2,1,1,25,2,1,1.75,0,2
1,539,1,0,4,2,1,21,2,0,14.0,1,1
0,90,0,0,2,1,1,29,2,1,3.0,0,2
0,464,0,0,1,2,2,29,2,0,11.5,0,1
