"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"1",-1,0.389543594827298,0.730986256171844,0.730986256171844
"2",10,0.311771792859229,0.787029542971687,0.649986608904193
"3",10.2,0.311771792859229,0.787029542971687,0.649986608904193
"4",10.4,0.311771792859229,0.787029542971687,0.649986608904193
"5",10.6,0.332452671904799,0.788171465306849,0.654457609437358
"6",10.8,0.33182313588458,0.788011305316147,0.65432462070425
"7",11,0.33182313588458,0.788011305316147,0.65432462070425
"8",11.2,0.375242320058235,0.790598413723126,0.665406795230721
"9",11.4,0.377392117569495,0.790529185867162,0.666218645412706
"10",11.6,0.380139568917954,0.790609416835512,0.667040436951476
"11",11.8,0.380139568917954,0.790609416835512,0.667040436951476
"12",12,0.382378990942818,0.790772326869946,0.667700114858561
"13",12.2,0.382349024683078,0.790717876372614,0.667770181917553
"14",12.4,0.382349024683078,0.790717876372614,0.667770181917553
"15",12.6,0.382349024683078,0.790717876372614,0.667770181917553
"16",12.8,0.382349024683078,0.790717876372614,0.667770181917553
"17",13,0.387903279744033,0.791014208153074,0.669471520167123
"18",13.2,0.387903279744033,0.791014208153074,0.669471520167123
"19",13.4,0.391695548537877,0.791302275809928,0.670644356149448
"20",13.6,0.391695548537877,0.791302275809928,0.670644356149448
"21",13.8,0.391695548537877,0.791302275809928,0.670644356149448
"22",14,0.391695548537877,0.791302275809928,0.670644356149448
"23",14.2,0.391695548537877,0.791302275809928,0.670644356149448
"24",14.4,0.39239950411773,0.791356255884977,0.670864310554677
"25",14.6,0.418592962693483,0.793336764191295,0.679819983286318
"26",14.8,0.418592962693483,0.793336764191295,0.679819983286318
"27",15,0.418796028980134,0.793354405708616,0.679893315546737
"28",15.2,0.41899886060658,0.793372035623201,0.679966640451936
"29",15.4,0.429537393139244,0.794099044194546,0.684027640137935
"30",15.6,0.42972765618773,0.794116523615052,0.684100967657815
"31",15.8,0.42972765618773,0.794116523615052,0.684100967657815
"32",16,0.450918112626097,0.795555827866204,0.693280085980264
"33",16.2,0.450918112626097,0.795555827866204,0.693280085980264
"34",16.4,0.450918112626097,0.795555827866204,0.693280085980264
"35",16.6,0.450918112626097,0.795555827866204,0.693280085980264
"36",16.8,0.451476002001122,0.795471866555273,0.69373225227542
"37",17,0.470423986104966,0.796853252990204,0.703298424344451
"38",17.2,0.470856409203717,0.79690337474472,0.703518087874503
"39",17.4,0.470856409203717,0.79690337474472,0.703518087874503
"40",17.6,0.472154536393164,0.79695757529527,0.704267689997133
"41",17.8,0.472154536393164,0.79695757529527,0.704267689997133
"42",18,0.477622115244069,0.79751130766705,0.707214863014111
"43",18.2,0.477622115244069,0.79751130766705,0.707214863014111
"44",18.4,0.476372996746518,0.797192732602609,0.706932357903033
"45",18.6,0.476372996746518,0.797192732602609,0.706932357903033
"46",18.8,0.476510473552877,0.797209320050428,0.707005565169466
"47",19,0.476510473552877,0.797209320050428,0.707005565169466
"48",19.2,0.48350449660924,0.797316115608159,0.711546712505608
"49",19.4,0.486592557764575,0.797432691282474,0.713581719268401
"50",19.6,0.502089993011853,0.798968203233203,0.723867068191984
"51",19.8,0.502089993011853,0.798968203233203,0.723867068191984
"52",20,0.500368911477255,0.798396172585418,0.723348807081902
"53",20.2,0.500368911477255,0.798396172585418,0.723348807081902
"54",20.4,0.501258437320769,0.798523369534175,0.723932802362396
"55",20.6,0.503552723842764,0.798678724618235,0.725656000016363
"56",20.8,0.504520176659488,0.798732490811057,0.72640816635693
"57",21,0.504055690597545,0.798053386069672,0.726786070920949
"58",21.2,0.504055690597545,0.798053386069672,0.726786070920949
"59",21.4,0.504055690597545,0.798053386069672,0.726786070920949
"60",21.6,0.504055690597545,0.798053386069672,0.726786070920949
"61",21.8,0.504055690597545,0.798053386069672,0.726786070920949
"62",22,0.507612943067218,0.798185673475706,0.729952160884042
"63",22.2,0.507612943067218,0.798185673475706,0.729952160884042
"64",22.4,0.507612943067218,0.798185673475706,0.729952160884042
"65",22.6,0.507612943067218,0.798185673475706,0.729952160884042
"66",22.8,0.507612943067218,0.798185673475706,0.729952160884042
"67",23,0.510756736673753,0.798163464259063,0.732801677781729
"68",23.2,0.51164688611964,0.79816456223945,0.733856909661015
