"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"1",-1,0.3112401084113,0.651063847890142,0.651063847890142
"2",10,0.274640478405385,0.703898391139563,0.589959040377341
"3",10.2,0.274640478405385,0.703898391139563,0.589959040377341
"4",10.4,0.274640478405385,0.703898391139563,0.589959040377341
"5",10.6,0.2866693313028,0.703842440595156,0.592840822405797
"6",10.8,0.286459470065064,0.703750578852482,0.592763447999349
"7",11,0.286459470065064,0.703750578852482,0.592763447999349
"8",11.2,0.320167317608131,0.706333418855359,0.602358826911985
"9",11.4,0.322339407490691,0.706301220098408,0.603054049929862
"10",11.6,0.324814459441273,0.706482616502314,0.603835415059618
"11",11.8,0.324814459441273,0.706482616502314,0.603835415059618
"12",12,0.32668251318908,0.706681370589017,0.604439134093839
"13",12.2,0.326840917284698,0.706639692209943,0.604499889495559
"14",12.4,0.326840917284698,0.706639692209943,0.604499889495559
"15",12.6,0.326840917284698,0.706639692209943,0.604499889495559
"16",12.8,0.326840917284698,0.706639692209943,0.604499889495559
"17",13,0.330194905202945,0.706578395812753,0.605652395756006
"18",13.2,0.330194905202945,0.706578395812753,0.605652395756006
"19",13.4,0.333114955745012,0.706841858041873,0.606649676526798
"20",13.6,0.333114955745012,0.706841858041873,0.606649676526798
"21",13.8,0.333114955745012,0.706841858041873,0.606649676526798
"22",14,0.333114955745012,0.706841858041873,0.606649676526798
"23",14.2,0.333114955745012,0.706841858041873,0.606649676526798
"24",14.4,0.332784415261462,0.706581763729784,0.606571043420145
"25",14.6,0.350683860221945,0.707450390930836,0.613348872355452
"26",14.8,0.350683860221945,0.707450390930836,0.613348872355452
"27",15,0.350853693441579,0.707471136825143,0.613415117338635
"28",15.2,0.351023290902874,0.707491891323655,0.613481372612981
"29",15.4,0.357677426998177,0.707516770919413,0.616350387545145
"30",15.6,0.357640881843946,0.707462118190569,0.616351035029328
"31",15.8,0.357640881843946,0.707462118190569,0.616351035029328
"32",16,0.375153901458097,0.708965573228452,0.624237900356948
"33",16.2,0.375153901458097,0.708965573228452,0.624237900356948
"34",16.4,0.375153901458097,0.708965573228452,0.624237900356948
"35",16.6,0.374955796530298,0.708889347813857,0.624170784555338
"36",16.8,0.375451504274689,0.708749308749897,0.624482593528133
"37",17,0.387211009152759,0.708595879798057,0.631259358128419
"38",17.2,0.387582179461951,0.708653285065896,0.631455515881023
"39",17.4,0.387582179461951,0.708653285065896,0.631455515881023
"40",17.6,0.388884601078104,0.708793528679813,0.632160667632235
"41",17.8,0.388884601078104,0.708793528679813,0.632160667632235
"42",18,0.392568331892143,0.709012313867524,0.634387075102341
"43",18.2,0.392568331892143,0.709012313867524,0.634387075102341
"44",18.4,0.392064745299992,0.708786847594949,0.634185339693243
"45",18.6,0.392064745299992,0.708786847594949,0.634185339693243
"46",18.8,0.39218207482135,0.70880549391973,0.634250373072239
"47",19,0.39218207482135,0.70880549391973,0.634250373072239
"48",19.2,0.398563108705652,0.709116465753822,0.638204819178439
"49",19.4,0.399464171592236,0.708528836347583,0.639270867555899
"50",19.6,0.412115687193234,0.709917902035446,0.647884830240943
"51",19.8,0.412115687193234,0.709917902035446,0.647884830240943
"52",20,0.41117583498999,0.709462435574227,0.647469162724937
"53",20.2,0.41117583498999,0.709462435574227,0.647469162724937
"54",20.4,0.411493681903856,0.709408944187484,0.64780747174883
"55",20.6,0.413629596954113,0.70965977902983,0.649343538602056
"56",20.8,0.414617199561102,0.709791683708304,0.650045235025081
"57",21,0.413821963904206,0.708937160075329,0.650084736895815
"58",21.2,0.413821963904206,0.708937160075329,0.650084736895815
"59",21.4,0.413821963904206,0.708937160075329,0.650084736895815
"60",21.6,0.413821963904206,0.708937160075329,0.650084736895815
"61",21.8,0.413821963904206,0.708937160075329,0.650084736895815
"62",22,0.416802577868892,0.709009198708002,0.652665698264972
"63",22.2,0.416802577868892,0.709009198708002,0.652665698264972
"64",22.4,0.416802577868892,0.709009198708002,0.652665698264972
"65",22.6,0.416802577868892,0.709009198708002,0.652665698264972
