,School_Type,PD,Age,Closest_Type,Income_High,Income_Low,Family_True,Family_False,Cars2+,Cars1,Cars0,Licence_True,Licence_False
5073,University,11,19.0,0,1,0,1,0,1,0,0,0,1
1948,College,23,25.0,0,0,0,0,0,0,0,0,0,0
1881,College,23,21.0,0,0,1,0,1,0,1,0,0,1
4705,University,20,20.0,0,0,1,1,0,1,0,0,1,0
8058,University,1,25.0,1,0,0,0,0,0,0,0,1,0
14356,University,1,23.0,1,0,0,0,0,0,0,0,0,1
14689,University,2,22.0,1,0,0,0,1,0,0,1,0,1
15203,University,36,21.0,0,0,0,1,0,1,0,0,1,0
11081,University,36,22.0,0,0,0,0,1,0,1,0,1,0
14385,University,1,21.0,1,0,0,0,0,0,0,0,1,0
8560,University,13,22.0,0,1,0,1,0,1,0,0,1,0
16769,University,36,31.0,0,0,0,0,0,0,0,0,1,0
13266,University,1,22.0,1,1,0,0,1,0,0,1,1,0
2725,University,9,19.0,1,0,1,1,0,0,1,0,0,1
2449,University,36,20.0,1,0,0,0,0,0,0,0,1,0
8161,University,21,32.0,0,0,0,0,0,0,0,0,1,0
1933,College,21,23.0,0,0,0,0,0,0,0,0,0,0
15770,University,15,18.0,1,0,0,0,0,0,0,0,0,1
15162,University,1,23.0,1,0,1,0,1,0,0,1,1,0
10098,University,1,24.0,1,0,1,0,1,0,0,1,0,1
5698,University,3,46.0,0,0,0,0,0,0,0,0,1,0
7336,University,34,22.0,0,0,0,0,0,0,0,0,1,0
7977,University,9,20.0,0,0,0,1,0,0,0,0,0,1
10814,University,36,18.0,1,0,1,0,1,1,0,0,1,0
13775,University,15,21.0,1,0,0,1,0,0,1,0,1,0
3570,College,8,20.0,1,0,1,1,0,0,1,0,0,1
7574,University,1,21.0,1,0,0,0,0,0,0,0,1,0
4965,University,23,22.0,0,0,0,0,0,0,0,0,1,0
5117,University,31,18.0,1,0,0,0,0,0,0,0,1,0
7223,University,31,21.0,0,0,0,1,0,1,0,0,1,0
13559,University,39,17.0,0,0,1,1,0,0,1,0,0,1
13124,University,33,30.0,1,0,0,0,0,0,0,0,1,0
10984,University,6,19.0,0,1,0,1,0,0,1,0,1,0
6789,University,36,23.0,0,0,0,1,0,1,0,0,1,0
14740,University,28,21.0,1,0,0,1,0,1,0,0,1,0
14306,University,11,22.0,1,0,1,0,1,1,0,0,0,1
4117,University,4,22.0,0,0,0,1,0,0,1,0,0,1
2608,University,42,25.0,0,0,0,0,1,0,0,1,1,0
5896,University,2,18.0,1,0,0,0,0,0,0,0,0,1
1977,College,2,26.0,1,0,1,0,1,0,0,1,1,0
1013,College,21,20.0,0,1,0,1,0,1,0,0,1,0
13987,University,4,23.0,0,0,0,0,1,0,0,1,1,0
5421,University,1,18.0,1,0,0,0,0,0,0,0,0,0
4433,University,10,20.0,1,0,0,0,1,0,0,1,0,1
10097,University,3,26.0,0,0,0,0,1,0,0,1,1,0
11152,University,1,19.0,0,0,0,0,0,0,0,0,0,1
5873,University,29,22.0,1,0,0,0,0,0,0,0,0,1
11228,University,36,24.0,1,1,0,1,0,1,0,0,1,0
9255,College,36,23.0,0,0,0,0,0,0,0,0,1,0
16497,University,31,20.0,1,0,0,1,0,1,0,0,1,0
154,College,6,21.0,0,0,0,1,0,1,0,0,1,0
8016,University,33,19.0,1,0,0,0,0,0,0,0,1,0
11879,University,36,19.0,0,0,0,1,0,0,0,1,0,1
13419,University,28,22.0,1,1,0,1,0,0,1,0,1,0
5162,University,4,37.0,0,0,0,0,1,0,0,1,0,1
7271,University,35,20.0,0,0,0,0,0,0,0,0,1,0
15577,University,35,22.0,0,0,0,0,0,0,0,0,1,0
14562,University,11,19.0,0,0,1,1,0,0,1,0,0,1
3746,College,46,24.0,0,0,0,0,1,0,1,0,1,0
14009,University,44,18.0,0,0,0,0,1,1,0,0,0,1
1191,College,23,20.0,0,0,1,1,0,1,0,0,0,1
8657,University,9,24.0,1,0,0,1,0,0,1,0,1,0
12600,University,35,20.0,0,0,0,1,0,0,0,1,1,0
44,College,36,19.0,0,0,0,0,0,0,0,0,1,0
461,College,21,19.0,0,0,1,1,0,0,1,0,1,0
7518,University,11,24.0,1,0,0,0,0,0,0,0,1,0
8239,University,4,23.0,0,0,0,0,1,1,0,0,1,0
14023,University,5,21.0,0,0,0,0,0,0,0,0,1,0
10491,University,13,27.0,0,0,1,1,0,1,0,0,1,0
11571,University,36,38.0,1,0,0,0,0,0,0,0,1,0
4660,University,23,25.0,0,1,0,0,1,0,0,1,1,0
4206,University,1,21.0,1,0,1,0,1,0,1,0,1,0
13136,University,11,32.0,1,0,0,0,0,0,0,0,1,0
9962,University,1,30.0,1,0,0,0,0,0,0,0,1,0
4014,College,46,32.0,1,0,0,0,1,0,0,1,1,0
51,College,1,38.0,1,0,0,0,1,0,1,0,1,0
15134,University,1,36.0,1,0,0,0,1,0,1,0,1,0
11711,University,5,39.0,1,0,0,0,0,0,0,0,1,0
1018,College,22,20.0,0,0,0,0,0,0,0,0,1,0
13659,University,1,20.0,1,0,0,0,1,0,0,1,1,0
8021,University,21,18.0,0,0,0,0,0,0,0,0,0,1
12951,University,15,20.0,0,0,1,0,1,0,0,1,1,0
15880,University,4,23.0,0,0,0,0,0,0,0,0,0,1
2281,University,46,33.0,0,0,0,0,1,0,1,0,1,0
5943,University,35,19.0,0,0,0,1,0,1,0,0,0,1
1069,College,23,17.0,0,0,0,0,0,0,0,0,0,1
10645,University,8,26.0,1,0,1,0,1,0,1,0,1,0
7944,University,1,19.0,1,0,0,0,0,0,0,0,0,0
3873,College,46,30.0,0,0,0,0,0,0,0,0,0,1
4305,University,8,19.0,1,0,0,0,0,0,0,0,0,1
4690,University,22,24.0,0,0,0,0,0,0,0,0,1,0
3573,College,40,19.0,1,0,0,0,0,0,0,0,0,1
10609,University,29,22.0,1,0,0,0,0,0,0,0,1,0
10736,University,1,18.0,1,0,0,0,0,0,0,0,1,0
10710,University,36,19.0,1,0,1,1,0,0,1,0,0,1
15043,University,14,39.0,0,0,0,0,0,0,0,0,0,0
11715,University,36,23.0,1,0,0,0,1,0,1,0,0,1
2920,University,46,20.0,0,0,0,0,0,0,0,0,1,0
6902,University,16,20.0,0,0,0,0,0,0,0,0,1,0
3895,College,45,21.0,0,0,0,1,0,0,1,0,0,1
13383,University,1,37.0,1,0,0,0,1,0,1,0,0,1
7427,University,16,21.0,0,0,0,1,0,0,0,1,1,0
15217,University,35,22.0,0,0,0,1,0,1,0,0,1,0
14915,University,5,30.0,1,0,0,0,0,0,0,0,1,0
8246,University,1,18.0,1,0,0,0,0,0,0,0,0,1
8450,University,36,18.0,1,0,0,0,0,0,0,0,1,0
6172,University,21,18.0,0,1,0,1,0,1,0,0,1,0
15446,University,4,20.0,0,0,0,0,0,0,0,0,0,1
3910,College,42,22.0,1,0,0,0,0,0,0,0,1,0
4701,University,16,21.0,0,1,0,1,0,1,0,0,0,1
10482,University,36,21.0,0,1,0,0,1,0,0,1,0,1
14216,University,2,27.0,1,0,0,0,1,0,1,0,1,0
14953,University,29,20.0,1,0,0,0,0,0,0,0,0,0
13667,University,13,31.0,0,0,0,0,1,1,0,0,1,0
10439,University,30,21.0,1,0,0,0,0,0,0,0,1,0
16417,University,24,19.0,1,0,0,1,0,1,0,0,0,1
7766,University,2,19.0,1,0,0,0,0,0,0,0,0,1
6497,University,21,19.0,0,0,1,1,0,1,0,0,1,0
15242,University,11,19.0,0,0,1,1,0,0,1,0,0,1
14685,University,2,22.0,1,1,0,1,0,0,1,0,0,1
16242,University,8,18.0,0,1,0,1,0,1,0,0,1,0
6686,University,2,21.0,1,0,1,0,1,0,1,0,1,0
15313,University,31,17.0,1,0,0,1,0,0,1,0,0,1
9683,College,35,23.0,0,0,0,0,1,1,0,0,0,1
6119,University,31,20.0,0,0,0,1,0,1,0,0,1,0
2818,University,46,26.0,0,0,0,0,1,0,0,1,1,0
11061,University,35,21.0,0,0,0,1,0,1,0,0,0,1
499,College,5,27.0,1,0,0,0,0,0,0,0,1,0
10732,University,15,23.0,0,0,0,0,1,0,1,0,0,1
16583,University,31,37.0,1,0,1,1,0,0,1,0,1,0
4395,University,2,24.0,1,1,0,0,1,0,0,1,1,0
7316,University,33,24.0,1,0,0,1,0,1,0,0,1,0
12150,University,36,22.0,0,0,0,1,0,1,0,0,1,0
11325,University,3,19.0,0,1,0,1,0,1,0,0,1,0
10662,University,1,19.0,1,0,0,0,0,0,0,0,1,0
5968,University,36,21.0,0,0,0,0,0,0,0,0,1,0
8229,University,46,23.0,0,0,0,0,0,0,0,0,1,0
4537,University,23,23.0,0,1,0,0,1,0,1,0,0,1
3440,University,42,23.0,0,0,0,0,1,0,0,1,1,0
5884,University,6,17.0,0,0,0,0,0,0,0,0,0,1
1298,College,23,21.0,0,0,0,1,0,1,0,0,1,0
2779,University,46,18.0,0,0,1,1,0,0,1,0,0,1
9709,College,36,21.0,1,1,0,0,1,0,0,1,1,0
2253,University,1,21.0,1,0,1,1,0,0,1,0,1,0
13685,University,1,23.0,1,0,0,0,0,0,0,0,1,0
4879,University,31,22.0,1,0,0,1,0,1,0,0,1,0
15654,University,6,20.0,0,0,1,1,0,1,0,0,1,0
9110,College,35,23.0,0,0,0,0,0,0,0,0,0,1
11210,University,10,21.0,1,1,0,1,0,1,0,0,1,0
3975,College,46,20.0,0,0,0,0,0,0,0,0,1,0
9928,University,1,22.0,1,0,0,0,1,0,0,1,1,0
