Home Zone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Distance
101,20,2,1,2,2,1,2,3,0,1,3.6798390000000003
46,33,1,1,3,2,0,2,2,0,0,1.297744
579,27,1,1,1,1,1,2,6,1,8,18.87987
3380,18,2,1,2,2,1,1,4,1,0,16.68237
369,18,2,1,1,2,0,2,2,1,1,20.49631
3670,25,1,0,1,2,1,2,3,0,0,16.98824
74,23,1,1,1,2,0,2,2,0,10,0.699414
3622,18,2,1,2,2,1,2,4,0,1,18.75543
2368,28,2,1,1,2,2,2,3,0,0,23.519849999999998
48,20,1,1,1,2,0,1,1,0,10,1.199355
385,26,2,1,2,2,2,2,4,0,1,20.40364
3602,20,2,0,1,2,1,0,4,0,1,41.67274
4186,22,2,1,2,2,2,2,3,0,0,28.34698
110,29,1,0,1,1,0,0,1,1,0,5.570017
106,39,2,1,3,1,2,2,2,0,1,8.261479
5179,23,1,0,2,2,0,2,2,0,1,4.076137
3684,28,1,0,1,1,2,2,4,0,0,0.0
3684,28,1,0,1,1,2,2,4,0,0,0.0
3620,24,2,1,1,2,1,2,3,1,0,53.00807
3616,20,1,1,2,2,3,0,4,0,0,39.33389
562,24,1,1,1,2,0,2,3,0,0,14.75707
25,40,2,1,3,1,1,2,1,0,0,1.52949
76,40,1,1,1,2,0,1,2,0,10,1.928585
544,21,1,1,1,2,2,2,3,1,0,79.13288
175,19,2,1,1,2,0,0,3,0,1,8.856021
4039,18,1,1,1,2,3,2,3,0,1,29.90917
396,20,2,1,1,2,2,2,3,0,8,16.93478
274,36,2,1,3,1,1,2,2,1,0,5.182155
122,29,1,1,3,2,2,2,2,0,0,59.730309999999996
443,36,1,1,3,1,1,2,2,0,0,11.06701
553,18,1,1,1,2,1,2,3,0,1,18.02955
5150,27,2,9,2,2,1,1,3,0,0,7.384881999999999
432,32,2,1,3,1,1,2,2,1,0,16.726689999999998
282,18,2,0,2,2,2,0,3,1,1,4.7423969999999995
37,17,2,1,1,2,0,0,0,1,0,0.5361569999999999
4014,27,2,1,1,2,2,2,2,0,5,31.94215
2351,62,1,1,1,2,0,1,1,0,1,17.90372
21,45,1,1,1,2,0,1,1,0,1,2.057186
90,31,1,1,3,1,1,2,2,0,0,3.493251
4127,22,2,1,1,1,2,2,4,2,0,35.48003
428,62,1,1,1,1,2,2,2,0,0,15.13973
237,47,2,1,1,1,1,2,2,2,0,2.1939770000000003
42,29,1,1,3,1,0,1,2,0,0,1.362023
3436,23,2,1,3,1,3,2,5,0,0,41.393860000000004
5232,45,1,1,3,1,2,2,2,2,0,10.936020000000001
498,22,2,1,1,2,1,2,3,0,1,18.801419999999997
4173,19,2,1,1,2,4,0,4,2,4,56.352129999999995
24,21,1,1,2,2,0,2,2,0,10,1.35742
3694,23,1,1,1,2,3,2,4,0,3,36.08179
337,23,2,1,1,2,3,0,4,0,1,18.756310000000003
463,35,2,1,1,2,1,1,2,0,1,13.79859
5084,20,1,1,2,1,2,2,3,1,0,8.661989
3354,20,1,1,2,2,3,2,4,3,5,37.890260000000005
23,66,1,0,2,1,0,2,1,0,0,1.111839
4084,37,2,1,3,1,2,2,2,0,0,23.31448
3369,25,1,1,2,2,3,0,4,1,3,45.7304
343,24,2,1,2,2,2,2,4,0,1,16.372870000000002
571,18,2,1,1,2,3,2,4,0,5,25.565360000000002
407,19,2,9,1,2,1,0,4,0,8,17.43086
485,30,1,1,3,1,4,2,4,0,0,16.43998
237,21,2,1,1,2,3,2,5,0,0,78.09586999999999
315,57,1,1,3,1,1,2,2,0,0,12.070290000000002
37,21,1,1,3,1,0,1,2,0,0,0.5361569999999999
46,21,2,1,2,2,1,0,2,0,0,1.368845
5175,22,2,1,2,2,1,2,4,0,2,0.7319249999999999
5175,27,2,1,1,2,1,2,4,0,3,0.7319249999999999
3606,19,2,1,2,2,3,2,6,0,0,47.891349999999996
3719,33,1,1,3,1,1,1,2,0,0,37.43704
347,30,2,1,3,1,1,2,2,0,3,60.182790000000004
3650,28,1,0,2,2,1,0,2,0,4,30.719939999999998
3691,21,2,1,1,2,2,1,3,2,1,31.228740000000002
494,22,1,1,2,2,1,2,4,1,0,20.768909999999998
2366,21,2,1,2,2,1,2,3,0,1,20.29017
383,18,2,1,1,2,1,0,3,0,1,22.60084
3448,19,1,1,1,2,3,0,5,1,4,34.30503
1029,21,2,1,3,1,2,2,4,0,0,102.5234
184,19,2,0,1,2,2,2,3,1,1,9.155414
293,19,1,0,2,2,1,2,3,0,1,15.0305
278,35,1,1,3,1,1,2,1,0,0,3.581594
202,22,1,1,2,2,1,2,2,0,0,5.6316809999999995
366,29,1,0,1,2,2,1,3,0,1,19.71237
290,51,1,0,3,1,1,2,3,0,1,14.646120000000002
2059,30,1,1,3,1,2,2,2,0,0,25.9585
3654,19,1,1,1,2,3,0,6,0,1,18.97318
450,32,1,1,3,1,1,2,2,0,0,14.72527
353,20,1,1,2,2,4,0,5,1,0,17.321330000000003
5171,32,2,1,2,2,0,1,2,0,1,4.395624
248,19,1,0,1,2,3,2,4,0,1,10.47995
2428,22,1,1,2,2,2,2,4,0,0,28.44568
618,26,2,0,1,1,1,2,5,0,0,27.00234
229,71,2,1,1,1,1,2,3,0,0,12.040329999999999
1046,30,2,1,3,1,4,1,4,0,3,28.05498
270,21,2,0,1,2,2,2,3,0,1,3.8813540000000004
537,19,1,1,2,2,3,2,5,1,1,10.56717
30,59,2,1,3,1,1,0,1,1,0,2.470145
2108,31,2,1,1,2,4,2,5,0,3,26.30784
3417,24,2,1,1,2,2,2,5,0,0,40.06333
328,20,2,0,2,2,1,0,3,0,10,16.23903
564,36,2,1,3,1,2,2,4,0,1,23.13804
606,22,2,0,2,2,1,2,3,0,0,23.0445
3691,22,1,1,2,2,3,2,4,2,8,31.228740000000002
3688,18,2,0,1,2,1,1,2,0,1,45.75791
178,18,1,1,2,2,2,2,4,0,1,9.387563
19,25,1,0,2,2,1,0,4,2,10,1.745013
3716,22,2,1,2,1,1,0,4,0,4,35.55071
251,54,1,0,1,2,0,1,1,0,1,7.743137
313,20,2,1,1,2,1,0,2,0,0,13.41367
457,20,2,1,1,2,2,1,4,0,0,15.541459999999999
127,19,2,0,1,2,2,2,3,1,1,11.28508
370,22,2,1,2,2,2,2,2,1,3,25.07065
71,35,1,1,1,2,0,1,2,0,0,4.174835
404,19,1,1,2,2,2,2,5,0,0,66.21653
321,24,1,1,1,1,2,2,3,1,3,14.8883
2022,22,2,1,1,2,5,2,4,0,0,32.312599999999996
120,30,1,1,1,2,2,2,2,0,1,8.580473
2608,18,1,1,2,2,3,2,3,1,4,47.259209999999996
184,50,2,1,3,1,1,0,2,0,1,9.155414
2053,21,1,1,1,2,3,2,4,3,5,32.69045
3439,19,1,1,1,2,2,1,3,1,0,38.94505
100,22,2,1,1,2,1,2,4,0,1,5.586674
3429,18,2,1,1,2,2,1,3,0,0,37.83978
264,23,2,1,1,2,2,0,4,0,3,6.031485
2203,21,2,1,2,2,2,2,4,0,0,85.17343
515,21,1,1,1,2,2,2,4,0,0,18.437330000000003
65,33,1,1,1,2,1,2,2,1,1,1.8508339999999999
90,21,2,0,3,2,0,2,3,1,0,3.574542
2440,45,2,1,2,2,1,2,2,0,1,101.6535
204,22,1,1,2,2,1,2,1,0,1,4.941162
74,27,1,0,3,1,0,2,2,0,1,2.314008
3644,21,1,1,1,2,1,1,2,0,5,39.05106
2236,22,2,1,1,2,1,2,2,0,1,28.23945
5207,25,1,1,1,2,3,2,3,0,3,3.6448090000000004
259,36,1,1,3,2,2,2,2,2,1,7.6022419999999995
184,24,2,1,2,2,0,2,3,0,1,9.155414
2363,23,1,1,3,2,1,0,2,0,0,84.67016000000001
3648,22,1,1,1,2,3,0,4,0,3,20.91687
454,34,1,1,2,2,1,1,1,1,1,11.74369
15,21,1,0,2,2,1,2,3,0,8,4.434583
483,22,2,1,2,2,0,0,3,0,0,1.872206
3337,20,2,1,1,2,3,0,5,0,1,29.70872
3716,45,2,1,3,1,1,1,2,3,0,0.0
1186,23,1,1,1,2,2,0,3,0,3,52.106019999999994
3355,21,2,0,2,2,1,0,4,0,1,12.80688
2440,19,2,0,1,2,2,2,3,1,0,36.17311
281,38,1,1,3,1,1,2,2,0,0,6.1052040000000005
48,23,1,1,1,2,1,2,2,0,10,1.199355
2126,22,2,1,1,2,2,2,3,1,0,18.94397
177,22,1,0,1,2,2,2,4,0,1,6.746917
90,21,2,0,1,2,0,2,3,0,1,3.0967340000000005
4190,44,1,1,3,1,1,1,1,2,0,30.36289
104,25,1,9,1,2,1,2,4,0,0,3.631853
114,27,1,1,3,1,0,2,1,0,0,4.981547000000001
40,23,1,0,3,1,0,2,2,0,0,22.95637
319,37,1,1,2,1,2,2,2,3,0,12.22597
3346,24,2,1,1,2,3,1,4,0,3,18.54921
2378,21,1,1,1,2,1,2,4,1,5,31.1895
483,19,2,1,1,2,1,2,4,2,1,15.99082
123,35,1,1,2,2,1,2,2,0,1,15.53384
382,20,2,1,1,2,2,2,3,0,1,3.7580790000000004
46,21,2,1,1,2,0,1,2,0,0,1.297744
2243,17,2,9,1,2,1,0,1,1,0,25.96162
99,33,1,1,2,2,0,2,2,0,0,4.045104
364,22,1,1,2,2,2,1,2,0,0,16.79151
443,34,1,1,3,1,1,2,2,1,10,13.29974
2425,18,1,1,1,2,2,2,3,0,1,26.01134
450,27,2,1,2,2,1,2,2,0,0,13.40907
472,18,1,1,1,2,1,2,3,0,1,20.411939999999998
543,19,2,0,1,2,0,1,3,2,1,9.584811
51,22,1,1,1,2,1,1,2,0,0,1.268754
41,28,1,1,2,2,0,2,2,0,10,1.84044
3664,29,2,1,2,2,3,0,3,0,3,23.922060000000002
46,32,1,0,1,2,0,2,2,0,10,1.297744
154,21,2,1,2,2,4,2,8,1,0,12.45955
3459,23,2,1,2,2,4,2,5,0,0,22.87155
3369,43,2,1,3,1,4,2,5,1,0,19.61652
2098,22,2,1,1,2,2,2,3,0,1,18.08313
2142,20,1,0,1,2,1,2,3,0,1,17.45699
197,42,1,0,1,1,1,1,2,1,10,3.068222
173,22,1,1,2,1,0,2,2,0,1,4.036774
436,26,1,1,2,2,3,2,3,0,3,13.3256
3337,39,2,1,3,1,1,1,2,2,0,9.106768
3669,87,2,1,1,1,1,2,1,0,0,18.743830000000003
153,20,2,1,2,2,2,2,3,0,3,12.76167
172,37,1,0,1,2,2,0,4,1,1,4.945424
541,21,1,1,1,2,2,0,3,0,0,12.29575
305,21,1,1,2,1,4,2,4,0,1,13.74944
66,40,1,1,2,1,0,2,2,0,1,2.298354
133,30,1,0,1,2,0,1,2,0,1,9.268492
4120,28,1,0,1,1,2,2,4,2,8,3.1409709999999995
389,18,1,0,2,2,2,2,4,1,1,18.59173
133,34,1,1,1,1,1,1,2,1,0,9.268492
314,23,1,1,2,2,1,2,2,1,0,10.809520000000001
319,31,2,0,1,2,2,2,3,3,0,12.22597
270,32,1,1,2,2,1,2,2,0,0,5.530276
3485,22,2,1,3,2,2,0,4,0,3,18.40419
3642,22,1,1,2,1,4,2,4,0,0,7.879531
601,23,1,9,2,1,2,0,4,0,1,24.21564
3192,24,2,9,2,2,5,0,5,0,0,19.831709999999998
191,59,1,1,1,1,3,2,2,0,3,5.659206
1075,24,1,9,1,2,3,0,4,0,0,49.716300000000004
2364,28,1,1,3,1,3,2,3,0,0,18.487509999999997
51,33,2,1,3,2,1,2,2,2,0,1.268754
2108,21,2,1,1,2,3,2,3,1,1,23.32801
3370,36,1,1,3,1,2,2,2,0,3,18.140810000000002
46,24,1,1,1,2,0,1,1,0,10,1.297744
504,42,2,1,3,1,2,2,2,2,0,15.848180000000001
481,20,1,0,2,2,0,2,2,0,1,16.75457
3683,60,2,1,3,1,2,2,2,0,0,31.64719
2442,20,1,0,2,2,1,2,4,1,0,39.13529
507,21,1,1,2,2,2,1,5,1,1,10.45452
401,18,1,0,1,2,1,0,3,2,8,8.495579
1254,23,2,1,2,1,3,2,5,0,3,13.32024
3668,21,2,1,2,2,3,2,5,0,3,18.63411
49,19,1,0,1,2,1,1,2,0,10,0.881096
4125,27,2,1,3,1,2,1,5,0,0,35.95922
139,31,1,0,3,1,0,0,3,0,0,10.98513
3810,25,2,1,1,2,3,2,6,2,3,11.68384
3651,17,2,0,1,2,1,2,2,1,5,28.192529999999998
3431,21,1,1,1,2,4,2,4,0,3,21.43759
187,29,1,1,3,1,1,2,2,0,2,2.357666
3870,44,2,1,3,1,1,1,2,2,0,0.0
551,20,2,0,1,2,2,2,4,0,1,14.4526
427,30,1,0,3,2,0,1,2,0,0,12.5365
3718,23,2,1,3,1,1,1,5,0,1,20.92182
1181,20,1,1,2,2,2,2,4,1,1,5.211246
586,22,2,1,2,2,3,2,3,1,1,18.297729999999998
2362,21,1,0,1,2,1,1,2,0,1,20.90733
137,18,1,1,1,2,2,2,4,0,1,12.38202
3649,21,1,0,2,1,2,2,4,1,8,19.26566
222,21,1,0,1,2,1,1,4,3,1,4.242146
1243,18,2,1,2,2,2,2,3,0,1,6.41697
188,28,2,1,1,2,0,2,2,1,1,3.070265
3648,38,2,1,3,1,2,2,2,4,0,21.87821
71,18,1,1,1,2,0,0,1,0,10,1.132351
232,36,1,1,1,1,1,2,2,2,1,11.54252
46,20,1,1,1,2,0,0,2,0,10,1.297744
3491,25,1,1,3,1,4,2,5,0,0,17.2367
3491,20,1,1,1,2,4,2,5,0,8,16.20468
214,32,1,1,3,1,1,2,2,0,0,8.423377
363,20,2,0,1,2,1,2,2,2,8,20.20584
341,19,2,0,1,2,1,1,3,0,0,11.54708
210,29,1,1,2,2,0,1,2,0,0,5.6716359999999995
110,18,2,0,1,2,0,2,2,0,1,5.461931
454,35,1,0,3,1,0,2,2,0,0,11.74369
94,22,1,1,3,2,0,1,1,0,0,2.215019
130,33,1,0,3,1,1,2,2,0,1,10.27829
119,20,2,1,1,2,2,2,3,2,1,6.027405
79,26,2,1,2,2,1,0,1,0,0,3.752367
3519,22,2,1,2,2,2,2,3,0,3,6.685555
51,23,2,1,1,2,2,0,2,0,10,1.268754
450,32,1,0,2,2,2,2,2,0,1,13.40907
376,21,2,0,2,2,1,1,3,0,0,2.63071
46,27,2,1,1,2,0,2,2,0,2,1.297744
82,36,2,9,3,1,0,2,1,0,0,3.8913740000000003
117,33,1,1,3,1,1,2,2,0,0,6.285935
172,21,1,0,1,2,2,2,4,0,1,4.945424
482,19,1,1,2,2,4,2,4,0,8,17.65182
343,27,1,1,3,1,2,0,3,0,0,9.426452
53,25,1,1,1,2,0,1,1,0,0,1.802905
108,34,2,1,3,1,1,2,2,0,0,4.154795999999999
105,28,1,1,1,2,0,2,2,0,1,17.810419999999997
3379,21,1,1,1,2,3,2,4,0,0,37.90907
3417,24,1,1,3,1,1,2,4,0,0,37.11228
237,23,2,0,1,2,3,0,3,1,1,12.33072
3459,18,1,1,2,2,2,2,3,0,0,41.71103
4036,21,2,1,1,2,2,2,3,1,3,37.45611
3668,20,1,9,1,2,1,1,2,0,0,0.0
3714,21,2,1,1,2,4,2,4,1,0,43.02018
20,25,1,1,3,1,2,0,3,0,0,2.0357179999999997
591,25,1,1,2,2,1,2,4,2,1,8.890799000000001
512,22,2,1,1,2,0,2,3,0,0,19.06251
5191,24,2,1,2,2,2,1,2,0,3,2.612993
5171,35,2,1,1,2,0,0,2,3,1,4.395624
1065,18,1,1,2,2,3,2,4,0,4,38.59157
277,53,2,9,1,1,0,2,3,0,0,4.639444999999999
2440,41,2,1,3,1,2,0,2,2,0,35.49768
467,19,2,0,1,2,2,0,6,0,1,16.5987
2252,21,2,1,1,2,2,0,4,1,0,88.68055
2455,18,2,0,2,2,2,2,3,2,8,34.68766
431,21,1,0,2,2,0,2,4,0,1,17.821330000000003
239,20,2,0,2,2,0,1,2,0,0,14.23649
67,26,1,1,3,1,0,2,1,0,0,65.86788
4001,21,1,1,1,2,2,0,4,0,0,25.29587
1107,18,2,1,2,2,2,2,3,1,4,52.17365
18,17,1,0,1,2,1,2,3,1,8,1.238364
173,28,1,1,2,2,0,0,1,0,2,5.553314
2607,19,1,1,2,2,2,2,5,0,0,13.92507
2620,20,1,0,2,2,4,2,4,1,8,16.87953
2040,22,2,1,2,2,3,2,3,1,1,24.950110000000002
3517,22,2,0,1,2,3,2,5,1,1,31.53313
2133,34,1,1,2,1,2,1,2,1,3,25.45609
265,18,2,0,1,2,1,1,6,0,1,5.3510919999999995
18,51,2,0,1,2,0,1,2,3,1,1.9279479999999998
2442,18,2,0,2,2,1,0,3,1,1,31.530099999999997
523,20,2,1,2,2,3,2,3,1,1,15.25818
465,26,1,1,1,1,1,1,2,0,0,3.2691490000000005
5105,17,2,1,1,2,2,2,1,1,3,7.044573000000001
62,38,1,1,2,1,0,2,2,0,0,3.7232659999999997
3682,23,2,1,2,2,2,2,3,2,0,53.81474
3617,24,2,1,3,1,3,2,4,0,0,39.00734
3643,26,2,0,3,1,1,2,2,0,0,18.70079
258,31,1,1,1,2,2,0,2,0,3,73.90235000000001
2207,29,1,1,1,1,1,2,2,1,0,87.22213
250,28,1,1,3,1,0,2,2,0,0,8.49494
586,26,1,1,1,2,1,2,3,0,1,17.6223
48,63,1,1,3,1,1,2,2,0,10,2.307308
1082,19,1,1,2,2,2,0,3,0,0,14.51405
389,20,2,0,1,2,2,2,4,0,8,9.007778
431,49,2,1,2,1,2,2,3,1,0,16.44023
194,29,1,0,3,1,0,2,2,0,0,11.29191
2036,18,1,1,1,2,2,2,3,1,0,26.923
5175,22,1,1,2,2,1,2,2,0,10,0.7319249999999999
106,27,2,1,3,1,1,2,3,0,0,7.130624
450,23,2,1,1,2,1,1,3,1,3,78.29689
4119,25,2,1,2,2,3,2,4,0,3,43.19673
3494,25,1,1,1,2,2,2,5,0,5,36.5226
452,24,2,1,3,2,0,1,2,0,0,12.20623
2258,30,2,1,3,1,2,2,3,0,0,28.94245
3691,31,1,1,3,1,3,2,4,0,0,31.228740000000002
17,56,2,1,2,2,0,2,1,0,1,1.255547
385,27,1,1,2,2,3,1,5,1,0,23.12245
282,27,1,1,1,2,1,2,2,0,1,5.417824
452,21,1,1,2,2,1,2,3,0,0,12.26375
2427,21,1,1,1,2,1,2,3,1,5,28.51629
280,25,1,0,1,2,0,2,3,0,1,4.771492
483,23,2,1,2,2,0,0,3,0,1,1.872206
250,25,1,1,1,2,0,1,1,0,1,9.3684
1060,26,1,1,3,1,1,0,2,0,0,51.95794
234,25,1,0,1,1,1,2,2,0,1,2.9794629999999995
148,26,2,1,1,2,1,2,2,0,1,6.930545
25,37,1,9,1,2,1,1,1,3,10,1.040211
101,25,1,1,1,2,0,1,2,0,2,3.6798390000000003
454,33,2,1,3,1,1,2,2,0,0,11.74369
450,35,2,1,3,1,1,2,1,0,0,13.40907
3324,18,2,0,1,2,2,2,3,1,0,3.599065
104,22,2,0,1,2,1,2,2,0,0,3.631853
522,21,2,1,2,1,3,2,5,0,0,17.08575
456,22,2,1,1,2,2,2,4,0,1,13.58079
124,38,1,1,2,2,1,0,2,2,1,7.72636
40,34,2,1,3,1,0,2,2,0,0,1.461703
2057,21,2,1,1,2,4,0,6,0,3,13.73406
457,20,2,1,1,2,3,0,4,0,3,14.81024
66,21,1,1,1,2,0,1,2,0,10,2.298354
3716,18,2,0,1,2,1,2,3,0,1,24.451330000000002
48,23,1,1,1,2,0,0,1,0,10,1.199355
3657,20,2,1,1,2,2,2,4,0,1,20.641659999999998
48,23,1,1,1,2,0,2,1,0,10,1.199355
410,21,2,1,1,2,1,2,4,0,1,13.810120000000001
3354,20,1,9,2,2,2,0,5,1,0,36.37372
178,23,1,1,1,2,1,1,2,0,1,7.788835999999999
93,26,1,9,1,2,0,2,3,0,10,1.52827
2053,19,1,1,2,2,2,2,3,0,0,29.792810000000003
1121,21,1,1,2,2,2,2,3,0,8,10.67074
3685,18,1,1,1,2,1,2,4,0,1,21.14893
63,21,2,0,1,2,0,0,1,0,1,2.662761
266,30,2,1,3,1,0,1,2,0,0,6.896745
2352,22,1,1,1,2,2,2,3,0,1,17.69989
3354,19,1,1,2,2,1,2,3,0,5,36.37372
74,21,1,1,3,1,0,2,5,0,0,0.699414
420,26,1,1,2,2,1,2,2,0,1,12.00574
3867,48,2,1,3,1,1,2,1,0,0,0.0
110,26,2,1,1,2,1,2,3,0,3,20.19427
49,18,1,1,1,1,0,0,3,0,10,0.881096
3013,19,2,1,2,2,3,1,4,0,3,19.34966
370,18,2,1,2,2,2,2,4,1,3,2.0232979999999996
1181,32,1,1,2,2,2,0,3,0,3,66.90791
211,31,1,1,3,2,1,1,1,0,0,5.960171999999999
3720,23,1,1,2,2,3,2,3,1,3,22.650470000000002
114,47,2,1,3,1,1,0,2,2,0,4.981547000000001
127,21,1,1,2,2,2,2,3,1,1,8.649006
2022,19,2,1,1,2,3,2,4,0,0,29.593790000000002
46,19,1,0,1,2,0,1,2,0,10,1.297744
4166,27,1,1,3,1,3,2,2,1,0,31.17796
3637,38,1,1,2,1,1,2,2,1,0,12.28172
3429,46,2,1,3,1,2,2,2,2,0,17.453580000000002
42,29,2,1,3,1,1,2,2,0,10,1.572915
4103,24,2,1,3,1,2,1,4,0,3,27.724790000000002
191,33,2,1,2,1,1,2,3,1,0,17.99573
202,50,1,1,3,1,0,2,1,0,0,3.6927709999999996
