Unnamed: 0,HomeZone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Dist,Distance
3469,4108,34,1,1,1,2,2,2,2,3,0,48.970890000000004,48.970890000000004
3470,217,30,2,1,2,1,3,2,3,0,0,7.595644,7.595644
3471,25,34,1,0,1,2,0,2,1,0,10,0.0,0.0
3472,71,28,2,1,1,2,0,1,2,0,0,4.174835,4.174835
3473,170,28,1,0,2,1,0,0,1,0,0,5.7119040000000005,5.7119040000000005
3475,177,24,1,0,2,2,0,2,2,0,1,8.345644,8.345644
3476,601,23,1,1,3,1,2,0,4,1,0,23.644170000000003,23.644170000000003
3477,67,29,1,1,3,1,0,1,1,0,0,2.1706479999999995,2.1706479999999995
3478,21,39,2,1,3,1,1,1,2,2,1,1.38954,1.38954
3479,523,20,1,0,2,2,1,2,3,1,1,15.25818,15.25818
3480,93,25,2,1,2,2,0,2,3,0,2,3.235429,3.235429
3481,5133,21,1,0,1,2,1,2,4,1,1,8.835964,8.835964
3482,5166,18,1,1,1,2,0,1,5,0,0,2.120519,2.120519
3483,105,22,2,1,1,2,1,0,6,0,1,6.2479130000000005,6.2479130000000005
3484,5168,25,2,1,3,2,0,2,1,0,0,4.690215,4.690215
3485,5224,21,2,1,3,1,5,2,5,0,0,34.186170000000004,34.186170000000004
3486,2251,23,1,0,1,2,2,2,3,1,0,23.137880000000006,23.137880000000006
3487,68,20,2,0,1,2,1,0,5,0,0,2.346882,2.346882
3488,3646,22,2,1,1,2,3,0,3,0,5,25.50147,25.50147
3489,53,22,2,1,1,2,0,0,3,0,10,1.163625,1.163625
3490,192,33,1,1,1,2,1,2,3,2,1,8.458525999999999,8.458525999999999
3491,1097,20,1,1,1,2,1,1,3,2,0,59.38861,59.38861
3492,1060,28,1,0,1,2,2,2,5,0,5,36.87556,36.87556
3493,4103,21,1,1,1,2,3,2,4,0,0,34.36329,34.36329
3494,1117,20,1,1,2,2,2,2,4,1,0,46.90509,46.90509
3495,1123,35,1,9,1,2,2,0,2,1,5,45.15449,45.15449
3497,495,19,2,1,1,2,1,1,3,1,1,20.66708,20.66708
3498,373,18,2,0,1,2,1,0,4,3,1,22.04756,22.04756
3499,259,19,2,1,1,2,1,2,3,1,1,7.602241999999999,7.602241999999999
3500,1180,26,2,1,1,2,0,1,1,0,1,1.2168219999999998,1.2168219999999998
3502,209,29,2,0,1,2,0,1,2,0,0,18.55853,18.55853
3503,196,21,2,0,1,2,1,2,3,1,0,53.7477,53.7477
3504,1063,18,2,0,1,2,3,2,6,1,1,12.297989999999999,12.297989999999999
3507,1173,20,1,1,1,2,2,2,3,1,0,1.913429,1.913429
3508,465,22,2,0,2,2,2,1,4,0,1,47.55528,47.55528
3509,3346,30,2,1,3,1,3,2,3,0,0,29.52522,29.52522
3510,1182,23,2,0,2,2,2,2,6,0,0,4.2057920000000015,4.2057920000000015
3511,1196,23,1,1,1,2,1,0,2,0,1,5.626981,5.626981
3513,3468,35,2,1,3,1,2,0,2,2,0,29.24149,29.24149
3514,1209,18,1,1,2,2,3,2,3,1,3,6.719003999999999,6.719003999999999
3515,79,23,1,1,2,2,1,2,1,0,3,12.726719999999998,12.726719999999998
3516,606,20,2,1,2,2,3,2,2,0,3,37.75069000000001,37.75069000000001
3517,2378,24,2,1,1,2,2,0,2,0,0,44.22432,44.22432
3518,166,22,1,0,2,2,2,2,3,0,1,12.44069,12.44069
3519,266,75,1,1,1,1,1,2,1,0,3,8.417738000000002,8.417738000000002
3521,3637,21,1,9,1,2,3,0,3,1,0,25.10501,25.10501
3523,607,20,2,1,2,1,6,2,3,0,0,36.33012,36.33012
3525,400,22,1,0,1,2,2,2,3,1,1,20.689580000000007,20.689580000000007
3526,1032,19,1,1,1,2,2,2,8,3,0,21.71295,21.71295
3527,1142,46,1,1,3,1,2,2,2,0,0,12.31077,12.31077
3529,1136,21,2,1,1,2,3,2,4,1,3,6.365920999999998,6.365920999999998
3530,1030,51,1,1,1,1,3,2,2,3,0,25.25381,25.25381
3531,1106,21,1,1,2,2,3,2,4,0,1,7.349117,7.349117
3532,2408,25,2,0,1,2,4,2,4,0,1,40.260259999999995,40.260259999999995
3533,4110,46,1,0,1,1,1,1,3,4,0,45.02054,45.02054
3534,1317,26,2,1,1,2,3,2,4,0,1,33.97868,33.97868
3537,1215,21,1,1,2,2,4,0,5,1,3,8.597389000000002,8.597389000000002
3538,84,23,1,1,2,2,1,2,2,0,2,11.994879999999998,11.994879999999998
3539,3365,48,1,1,3,1,2,2,2,0,3,27.921,27.921
3540,1173,27,2,1,3,1,4,2,3,0,0,1.913429,1.913429
3541,3687,33,2,0,2,2,4,2,5,0,1,14.16221,14.16221
3543,3468,19,1,1,2,2,2,1,5,1,1,29.24149,29.24149
3544,210,28,2,1,3,1,0,2,2,0,0,6.760079000000001,6.760079000000001
3545,2714,19,1,1,2,2,7,2,3,1,3,35.65352,35.65352
3546,72,28,1,1,1,2,1,2,2,0,3,13.90184,13.90184
3548,540,19,2,1,1,2,1,2,2,1,0,22.49714,22.49714
3549,608,44,2,1,1,2,2,2,2,0,3,39.8355,39.8355
3550,3337,19,1,1,2,2,1,2,4,1,3,27.07625,27.07625
3551,3690,21,1,1,1,2,2,2,5,0,1,15.926060000000001,15.926060000000001
3553,1295,20,1,1,1,2,3,2,5,0,0,24.02184,24.02184
3556,3506,18,2,1,2,2,2,0,4,0,8,24.18928,24.18928
3557,345,43,1,1,1,2,4,2,4,2,0,9.84088,9.84088
3558,1259,21,2,1,2,2,4,2,4,1,0,20.22853,20.22853
3559,1259,46,1,1,2,1,2,2,3,2,0,20.22853,20.22853
3560,363,21,2,1,2,2,1,2,4,0,0,14.45739,14.45739
3561,296,21,1,1,3,1,2,2,3,1,0,2.487853,2.487853
3563,1263,54,1,1,1,1,1,0,1,0,0,20.1036,20.1036
3564,4189,20,2,1,1,2,1,0,2,1,0,21.56056,21.56056
3565,435,20,1,0,1,2,2,2,4,0,1,23.82747,23.82747
3566,437,26,2,0,2,1,3,2,4,0,0,14.85755,14.85755
3567,3325,21,2,0,1,2,2,1,3,1,5,34.3257,34.3257
3568,259,22,2,1,1,2,2,1,5,0,0,7.602241999999999,7.602241999999999
3570,38,19,1,1,1,2,1,0,2,0,10,0.0,0.0
3571,1097,21,2,0,2,2,2,2,4,0,0,38.39493,38.39493
3572,3151,20,1,1,2,2,4,2,4,1,3,55.542640000000006,55.542640000000006
3573,134,48,1,1,3,1,3,2,2,2,0,31.45077,31.45077
3574,1031,25,2,1,1,2,2,2,4,0,4,32.91455000000001,32.91455000000001
3575,410,50,1,1,3,1,3,2,3,0,0,15.40884,15.40884
3576,227,28,1,0,1,2,2,0,4,0,0,9.505088,9.505088
3577,450,29,1,1,3,1,1,1,2,0,0,14.725270000000002,14.725270000000002
3578,199,20,1,0,1,2,2,0,4,0,1,8.056607000000001,8.056607000000001
3579,2617,23,1,1,2,1,4,2,5,0,3,107.696,107.696
3581,428,22,2,1,1,2,1,2,3,1,0,15.139729999999998,15.139729999999998
3582,4038,23,1,1,1,2,2,2,3,0,4,38.38067,38.38067
3583,198,27,1,1,1,2,3,0,3,0,1,9.319826,9.319826
3584,431,19,1,1,1,2,2,2,3,0,0,17.821330000000003,17.821330000000003
3585,228,48,2,1,2,1,2,2,2,1,3,8.161758,8.161758
3587,538,18,1,0,1,2,1,2,3,0,1,10.02121,10.02121
3588,3616,20,2,1,2,2,2,2,3,0,0,39.44547,39.44547
3589,560,22,2,0,1,2,1,1,3,0,1,21.256320000000002,21.256320000000002
3590,2427,20,2,9,2,1,1,0,3,0,0,27.629959999999997,27.629959999999997
3591,5175,17,2,0,1,2,0,1,3,1,1,0.7319249999999999,0.7319249999999999
3592,2057,21,1,1,1,2,2,2,5,0,0,27.7025,27.7025
3593,4057,27,1,1,2,2,1,2,2,0,0,14.39625,14.39625
3594,552,31,1,0,1,2,2,2,2,2,0,16.87582,16.87582
3596,4052,53,1,1,2,1,4,0,3,0,0,57.49429,57.49429
3597,201,26,2,1,1,2,2,2,4,0,1,5.3282159999999985,5.3282159999999985
3598,47,57,1,1,1,1,1,2,3,0,0,1.620739,1.620739
3599,5130,50,2,1,3,1,1,2,1,1,0,8.808314999999999,8.808314999999999
3600,3192,21,2,1,2,2,3,2,3,1,0,23.7553,23.7553
3603,1132,23,2,1,1,2,3,0,4,0,0,110.3714,110.3714
3604,38,18,1,1,1,2,0,1,1,0,10,1.52949,1.52949
3605,592,19,1,0,2,2,0,1,2,1,1,31.57027,31.57027
3606,3863,35,2,1,2,1,0,2,1,0,0,24.42456,24.42456
3607,16,32,1,1,2,2,1,2,2,1,0,2.2367630000000003,2.2367630000000003
3608,524,28,2,1,3,1,2,2,3,0,0,14.22841,14.22841
3609,5174,24,1,1,2,2,2,1,2,0,1,3.641317,3.641317
3610,506,20,2,1,1,2,2,2,4,1,1,12.77418,12.77418
3611,5032,18,2,1,2,2,4,0,4,0,3,11.15659,11.15659
3612,3837,44,1,1,2,1,2,0,2,0,0,32.96255,32.96255
3613,252,18,1,1,1,2,1,2,3,2,1,7.727227,7.727227
3614,5073,23,1,1,1,2,2,0,4,1,0,9.586157,9.586157
3615,1063,21,1,0,1,2,1,2,3,0,8,40.1761,40.1761
3616,64,18,2,0,1,2,1,2,3,1,0,2.6984770000000005,2.6984770000000005
3617,571,57,1,1,3,1,2,2,2,0,1,25.8246,25.8246
3618,2449,50,1,1,1,1,2,2,4,1,3,23.683429999999998,23.683429999999998
3619,569,24,1,1,3,1,1,2,3,0,0,23.87167,23.87167
3620,148,18,1,1,1,2,0,0,3,0,0,8.447085000000001,8.447085000000001
3622,2367,19,1,0,1,2,2,2,3,1,0,21.75604,21.75604
3623,3690,25,1,1,3,1,2,2,4,0,0,26.46375,26.46375
3624,342,22,1,0,1,2,2,1,6,0,1,13.85725,13.85725
3625,5071,19,2,0,1,2,4,0,6,0,0,2.7377420000000003,2.7377420000000003
3626,229,24,2,1,1,2,3,0,4,0,1,12.85316,12.85316
3627,3714,18,1,1,1,2,3,0,4,0,0,34.08243,34.08243
3628,3193,18,2,1,2,2,3,2,3,2,5,44.33917,44.33917
3629,323,20,2,1,1,2,2,0,3,1,1,15.557210000000001,15.557210000000001
3630,188,23,1,1,1,2,1,2,4,0,1,3.070265,3.070265
3631,328,32,1,1,2,1,1,2,5,0,0,14.59425,14.59425
3632,3448,30,2,1,2,2,3,1,5,0,0,19.31239,19.31239
3633,3610,24,1,1,3,1,2,0,5,0,1,25.53291,25.53291
3634,435,22,1,9,2,2,0,2,2,0,0,6.1779730000000015,6.1779730000000015
3635,134,36,2,1,3,1,3,2,3,2,0,9.5369,9.5369
3636,2110,18,2,1,1,2,2,2,4,1,0,8.369716,8.369716
3637,2057,21,1,1,1,2,4,2,4,0,0,9.520301,9.520301
3638,560,19,1,1,1,2,2,2,3,2,0,29.93732,29.93732
3639,372,27,1,1,2,2,2,2,4,0,1,10.82841,10.82841
3640,2028,24,1,1,2,2,4,0,4,0,3,12.21049,12.21049
3641,618,21,2,1,2,2,2,0,4,1,0,24.68989,24.68989
3642,398,21,2,9,1,2,2,2,6,0,0,1.7730339999999998,1.7730339999999998
3643,90,24,1,1,1,1,0,2,2,0,0,18.50336,18.50336
3644,2101,18,2,1,1,2,3,1,6,0,8,10.40348,10.40348
3645,577,23,1,1,3,1,1,2,4,0,1,26.16531,26.16531
3646,4189,18,1,0,1,2,1,0,4,0,1,53.11328,53.11328
3647,3153,22,2,1,2,1,4,1,6,0,3,29.047620000000002,29.047620000000002
3648,2073,20,2,1,2,2,1,2,4,0,1,12.7214,12.7214
3649,3365,20,2,0,1,2,2,2,3,1,1,28.8244,28.8244
3650,2710,23,2,9,1,2,3,1,4,0,0,36.57538,36.57538
3651,3460,21,2,1,1,2,2,2,5,0,1,29.82872,29.82872
3653,455,42,1,1,2,2,1,2,2,0,0,10.304950000000002,10.304950000000002
3655,45,23,1,1,1,2,0,2,2,0,1,16.462889999999998,16.462889999999998
3658,119,18,2,1,1,2,1,2,2,0,1,14.11605,14.11605
3659,78,25,1,1,2,2,1,2,2,0,1,18.61355,18.61355
3660,2618,18,1,1,1,2,2,0,3,0,0,33.63003,33.63003
3661,233,42,1,1,3,1,1,2,2,0,0,17.687720000000006,17.687720000000006
3662,3357,22,1,0,2,2,1,2,4,0,1,21.99098,21.99098
3663,3008,20,2,1,2,2,2,2,3,1,0,33.771440000000005,33.771440000000005
3664,209,27,1,0,3,1,0,1,1,0,0,14.514710000000001,14.514710000000001
3665,515,38,1,0,1,1,0,2,2,2,1,3.874069,3.874069
3666,173,38,1,1,2,2,0,2,2,0,0,13.536660000000001,13.536660000000001
3667,2098,22,2,1,1,1,0,1,2,0,0,9.253344,9.253344
3668,448,24,1,1,1,2,0,2,2,0,0,8.135732,8.135732
3669,1065,19,1,1,1,2,2,2,7,0,1,43.72463,43.72463
3670,389,18,2,1,1,2,1,1,3,0,1,3.4273740000000004,3.4273740000000004
3671,552,21,1,1,1,2,0,0,1,2,1,2.571803,2.571803
3672,2053,22,1,1,3,1,3,2,4,3,0,13.12715,13.12715
3673,443,43,1,1,1,2,2,1,2,2,10,1.050086,1.050086
3674,397,19,2,1,1,2,1,2,3,2,10,1.271585,1.271585
3676,396,21,1,1,2,2,1,1,3,1,0,2.0957800000000004,2.0957800000000004
3678,2080,20,2,1,1,2,2,2,6,0,0,9.146525,9.146525
3681,339,25,2,1,3,1,3,2,4,0,0,15.828079999999998,15.828079999999998
3683,454,22,2,1,3,1,0,0,1,0,0,9.430558999999999,9.430558999999999
3684,390,35,2,1,1,2,1,1,2,0,0,3.4857940000000003,3.4857940000000003
3685,3380,26,1,1,1,2,3,2,6,0,0,25.93112,25.93112
3686,317,20,1,1,2,2,3,0,4,0,0,15.43948,15.43948
3687,177,21,2,1,1,2,1,1,3,0,1,10.90749,10.90749
3688,66,31,1,9,2,2,1,2,1,0,0,18.4108,18.4108
3689,3465,37,2,9,2,1,2,0,4,0,0,30.83353,30.83353
3690,1074,18,1,1,2,2,2,2,4,0,1,40.32257,40.32257
3691,390,27,2,1,2,2,1,0,4,0,10,3.4857940000000003,3.4857940000000003
3692,241,19,2,1,1,2,2,0,3,0,1,17.701990000000006,17.701990000000006
3693,398,37,2,0,2,2,0,1,1,0,10,1.7730339999999998,1.7730339999999998
3694,431,21,2,0,2,2,2,2,4,1,1,4.911207,4.911207
3695,3363,17,2,0,1,2,1,1,2,2,0,22.720589999999998,22.720589999999998
3696,3506,22,1,0,2,2,2,1,3,1,1,9.196672999999999,9.196672999999999
3697,237,18,1,1,2,2,3,2,4,0,8,22.02425,22.02425
3698,587,29,1,1,1,2,2,0,4,0,1,19.78553,19.78553
3699,3649,21,2,1,1,2,2,2,5,0,0,19.26566,19.26566
3700,195,50,1,1,3,1,1,2,3,1,0,10.06863,10.06863
3701,89,41,1,1,2,2,0,1,1,0,1,4.696599,4.696599
3702,4041,32,1,1,3,1,4,2,4,0,0,21.4757,21.4757
3703,3459,22,2,1,1,2,2,1,3,0,3,22.87155,22.87155
3704,425,18,1,0,1,2,0,2,3,0,1,11.47532,11.47532
3705,557,20,1,0,2,2,1,2,3,1,1,20.56428,20.56428
3706,398,20,2,0,1,2,2,2,3,1,1,16.55089,16.55089
3707,586,21,1,0,2,2,1,2,5,0,0,18.29773,18.29773
3708,122,60,1,1,2,1,0,2,1,0,0,8.184263000000001,8.184263000000001
3709,3146,17,2,1,2,2,2,2,2,2,0,43.39014,43.39014
3710,250,35,1,1,3,1,1,2,2,0,10,9.3684,9.3684
3711,46,26,1,0,3,2,0,2,2,0,10,1.297744,1.297744
3712,96,26,1,1,2,2,0,2,3,0,1,2.1118419999999998,2.1118419999999998
3713,1075,18,2,1,2,2,3,2,5,0,1,16.272959999999998,16.272959999999998
3714,51,24,2,1,3,1,0,2,1,0,0,1.2687540000000002,1.2687540000000002
3715,557,31,2,1,3,1,1,1,1,0,0,20.56428,20.56428
3716,46,21,1,1,1,2,0,1,3,0,0,1.297744,1.297744
3717,46,21,1,1,1,2,0,1,3,0,10,1.297744,1.297744
3718,62,28,2,1,1,2,0,1,1,0,1,3.402733,3.402733
3719,37,19,2,0,1,2,0,0,2,0,2,2.4224270000000003,2.4224270000000003
3720,1035,22,1,0,1,2,2,2,3,0,0,30.820220000000006,30.820220000000006
3721,46,27,1,1,2,2,0,0,2,0,0,1.297744,1.297744
3722,307,19,1,1,2,2,1,2,3,1,0,12.23623,12.23623
3723,1106,18,1,0,1,2,3,2,4,1,5,51.68867,51.68867
3724,71,21,1,1,1,2,1,2,2,0,10,1.132351,1.132351
3725,70,21,2,1,2,2,0,2,3,0,0,0.7401139999999999,0.7401139999999999
3726,2217,18,1,1,1,2,3,2,3,1,3,29.21975,29.21975
3727,265,31,1,1,2,2,0,2,2,0,1,6.776885999999998,6.776885999999998
3728,72,23,1,1,1,2,1,2,4,0,10,1.595176,1.595176
3729,42,25,2,1,1,2,0,2,1,0,10,1.572915,1.572915
3730,72,21,2,1,1,2,0,0,2,0,10,1.595176,1.595176
3731,463,43,2,1,1,2,1,0,2,0,0,14.157820000000001,14.157820000000001
3732,217,19,2,1,1,2,2,2,4,0,1,7.603092999999999,7.603092999999999
3733,47,21,2,1,1,2,0,1,1,0,10,1.063099,1.063099
