"","Call","Null","Time","Adj."
"1","0 | 1  |  Time","0.358517865549181","0","0"
"2","0 | Family  |  Time","0.390697304048489","0.0501642006395986","0.0500331032092947"
"3","0 | Cars  |  Time","0.41399296888174","0.0864795765201667","0.0863484790898628"
"4","0 | Level  |  Time","0.362176235912772","0.00570299649377426","0.00557189906347022"
"5","0 | Level + Family  |  Time","0.39184381657992","0.0519514874085625","0.0516892925479546"
"6","0 | Level + Cars  |  Time","0.416378247225962","0.0901979627637116","0.0899357679031036"
"7","0 | Level + Family + Cars  |  Time","0.435339498563287","0.119756465361073","0.119363173070161"
