,Mode,Licence,Family,Cars,Time.Auto,Time.Transit,Time.Active,Cost.Auto,Cost.Transit
75,Transit,1,Other,0,13.92199,41.453521,83.277195,0.4215924,2.22
76,Active,1,Other,0,3.892384,28.438384000000003,39.42108,0.1848082,2.22
77,Active,1,Other,0,3.068723,25.742024,23.927640000000004,0.1104144,2.22
78,Transit,0,Family,2,4.3501,30.203819,47.27064,0.2221395,1.98
79,Active,1,Other,0,1.049121,16.675728,10.491209999999999,0.04728249,2.22
80,Active,0,Other,0,1.464106,25.325449,14.598600000000001,0.06579395,2.22
81,Transit,1,Family,2,49.678020000000004,85.109091,298.2465,1.375797,7.865789
82,Active,1,Family,2,2.776623,26.813798,23.593725,0.10633379999999999,2.22
83,Transit,1,Family,2,22.57604,89.180144,201.09855,0.9649767,1.98
84,Active,1,Other,0,2.014925,20.126511999999998,15.20709,0.071525,2.22
85,Active,0,Other,0,2.776623,26.813798,23.593725,0.10633379999999999,2.22
86,Transit,1,Other,1,17.36111,37.486876,89.375625,0.4238017,2.22
87,Transit,1,Family,1,19.19235,51.81050000000001,120.050385,0.5901698000000001,4.431214
88,Active,0,Other,0,2.845125,24.990155,27.043575,0.1315306,2.22
89,Active,0,Other,0,2.595157,27.40234,23.805030000000002,0.1169349,2.22
90,Auto,1,Family,3,51.14774,121.54133,533.0118,2.539528,9.232919
91,Transit,1,Family,1,11.27827,44.993718,74.18136,0.3438902,2.2784560000000003
92,Active,1,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
93,Auto,1,Family,1,23.800060000000002,90.12109,229.38479999999998,1.069664,5.22
94,Transit,1,Other,1,15.85454,47.83985300000001,92.782125,0.430946,3.649378
95,Active,1,Other,1,2.014925,20.126511999999998,15.20709,0.071525,2.22
96,Transit,1,Family,2,8.250103,35.315525,88.190685,0.39746370000000003,1.98
97,Transit,0,Family,2,48.56919,135.888826,331.77645,1.7085709999999998,6.246023999999999
98,Active,1,Other,1,1.464106,25.325449,14.598600000000001,0.06579395,2.22
99,Transit,1,Family,3,32.36266,73.067319,196.41555000000002,0.8966357,3.468511
100,Transit,0,Family,0,28.386979999999998,85.44495500000002,355.40729999999996,2.039974,4.44
101,Transit,0,Family,1,21.56203,58.379758,116.34838500000001,0.5449948,3.16356
102,Transit,0,Family,3,54.61469,155.730367,417.22139999999996,2.089777,6.003814
103,Auto,1,Family,4,52.80321,128.95526999999998,559.4454000000001,2.64222,9.4104
104,Active,1,Other,1,7.961721000000001,35.038115999999995,50.06562,0.22868289999999997,2.22
105,Auto,0,Family,1,1.885362,20.435959,19.86384,0.09786982,1.98
106,Transit,1,Family,1,63.395309999999995,160.491967,474.73455000000007,2.395109,7.593773
107,Transit,1,Family,1,19.30037,44.767979,104.03547,0.4802907,2.22
108,Active,1,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
109,Transit,1,Other,0,5.769032,30.167623,51.040994999999995,0.2499044,2.22
110,Active,0,Other,0,7.717772999999999,37.877319,75.9915,0.3424836,1.98
111,Active,0,Other,0,2.014925,20.126511999999998,15.20709,0.071525,2.22
112,Transit,1,Family,1,13.53559,50.490272999999995,88.17565499999999,0.4374089,2.2837959999999997
113,Auto,1,Family,1,32.172740000000005,110.024981,272.87475,1.331164,2.48
114,Transit,1,Family,2,26.741290000000003,79.65141700000002,184.09215,0.8485720999999999,4.44
115,Transit,0,Other,0,32.017509999999994,83.156993,356.68215000000004,2.000581,4.44
116,Transit,1,Family,0,68.87486,99.884775,526.4025,2.675125,11.1649
117,Active,0,Other,0,2.523888,24.493026999999998,28.469009999999997,0.1283061,2.22
118,Transit,1,Family,2,4.289724,29.3483,30.6678,0.13821570000000002,2.22
119,Active,1,Other,0,1.9141869999999999,23.859148,17.990325000000002,0.08108001,2.22
120,Active,1,Other,0,0.0,0.0,0.0,0.0,0.0
121,Active,1,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
122,Active,1,Other,1,7.961721000000001,35.038115999999995,50.06562,0.22868289999999997,2.22
123,Transit,1,Other,0,11.057360000000001,37.31815,63.98426999999999,0.293943,2.22
124,Active,1,Other,0,15.891110000000001,45.144366,87.02386499999999,0.4009995,2.22
125,Active,0,Other,0,1.15247,17.169234,11.262285,0.05075763,2.22
126,Transit,0,Other,0,0.0,0.0,0.0,0.0,0.0
127,Transit,0,Family,2,65.64657,96.277786,472.7253,2.354742,10.34811
128,Transit,1,Family,1,86.34888000000001,151.98685600000002,687.40515,3.306747,11.911430000000001
129,Active,0,Family,1,4.603065,25.568201000000002,35.364990000000006,0.1616951,2.22
130,Transit,1,Other,0,23.7902,98.9388,204.6681,0.9645706000000001,1.98
131,Transit,1,Other,1,3.145816,20.714456,33.342495,0.15027020000000002,2.22
132,Active,1,Other,0,7.717772999999999,37.877319,75.9915,0.3424836,1.98
133,Auto,1,Other,2,19.18929,52.600751,114.68679,0.5403741999999999,2.22
134,Active,1,Other,0,2.141326,19.940688,19.27866,0.08688637,2.22
135,Transit,1,Family,3,88.53589000000001,125.59295,626.6408999999999,3.1808970000000003,11.9309
136,Transit,0,Family,2,54.67905,133.365501,385.8555,1.924377,4.44
137,Transit,1,Other,0,9.638221000000001,34.536596,55.197585000000004,0.25476309999999996,2.22
138,Active,0,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
139,Active,0,Other,1,0.0,0.0,0.0,0.0,0.0
140,Transit,0,Family,2,56.19446,126.74985,368.2065,1.8377880000000002,4.44
141,Transit,0,Other,0,26.9185,39.01859,180.08610000000002,0.8811402,2.22
142,Transit,1,Family,2,43.24969,130.64222900000001,310.2468,1.474258,2.8405810000000002
143,Transit,0,Family,1,32.571740000000005,69.622366,212.3673,0.9928945,2.22
144,Active,1,Family,2,78.52228000000001,122.85326,598.2861,3.0872450000000002,11.99095
145,Active,0,Other,0,1.464106,25.325449,14.598600000000001,0.06579395,2.22
146,Transit,1,Family,0,31.373890000000003,72.71069200000001,199.884,0.9159308,2.22
147,Transit,0,Family,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
148,Transit,0,Family,1,7.019825999999999,31.444467,96.208185,0.4335975,2.22
149,Active,1,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
150,Transit,1,Other,1,3.2369220000000003,21.681383,26.183565,0.1180058,2.22
151,Transit,1,Other,1,5.704483,36.318000000000005,56.28550500000001,0.2553585,2.22
152,Transit,0,Family,0,38.02369,69.37563,238.95075,1.1944569999999999,2.22
153,Active,1,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
154,Active,0,Other,0,1.710853,20.776487,15.946485,0.07186870000000001,2.22
155,Auto,1,Family,3,59.263980000000004,176.51618100000005,657.8274,3.3671889999999998,8.485232
156,Auto,1,Other,2,9.900758999999999,45.887638,110.07012,0.49806709999999993,1.98
