"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"ASC_SG",1.80314205687704,1.62987650783643,1.67740634684844,2.02195953654136,1.85215389262824,1.89403459646109,2.29313293487336,2.10273391312496,2.28908600321571,2.63387203669726,2.43838929679138,2.6314430804941,1.9477311083098,1.75296691830797,1.67677187030741,2.28038753934426,2.04562351311911,1.97655069883417,2.71834899287743,2.56310191037641,2.63644947501618,3.0627281384523,2.89919379593246,2.98301189492077,4.97443034159856,4.82262959796737,4.87290094210755,4.94793591758808,4.78824916478404,4.84934713650241,4.33888004479231,4.33419110503721,4.20336721184281,4.31532251777301,4.31215014496692,4.18286075126032,4.07646701357372,4.0484152286145,4.05501955008743,4.05265417321728,4.02415779916512,4.03557118385069
"ASC_SC",-0.305757536909951,-0.553275284375038,-0.402286559263427,-0.54855213664705,-0.829601774954186,-0.66046143211248,1.4562709214339,1.19027827511856,1.44895373333353,1.81819643538267,1.55323814597034,1.81396540399943,0.965916908376311,0.466900600972342,0.784726406955193,1.29980553259419,0.80807367511731,1.12133908581889,1.24657110965829,0.899248579279496,1.16235213661468,1.60183727729203,1.26589166759488,1.52840322723586,1.40536860457895,1.11929261775658,1.23527840470461,1.12464365038057,0.843109630673102,0.970120104259873,2.02063564340843,1.32674817133666,1.87354282550038,1.73965383618149,1.0640619586881,1.61095802083172,-0.821314044547386,-1.09439595609024,-0.826061446464869,-1.07970726679784,-1.36301300924216,-1.08485661912641
"ASC_MI",-0.245752325170373,-0.330761842041118,-0.241348625382559,-0.380988644299591,-0.422801512322395,-0.356235070718956,1.13870515973774,1.12475406824092,1.13653356144882,1.75572715451392,1.75455294094862,1.75449903002781,0.589416677704789,0.612416854305782,0.69220456904182,1.22358510658143,1.21186687172917,1.28339337252279,0.804675868090978,0.751407523286636,0.801986136184975,1.42849610596989,1.38696126089036,1.42811585840916,1.32448602333988,1.2085163967875,1.26188061536336,1.52523590247503,1.42538739995947,1.47381963016409,2.02708243702481,1.66382572648806,1.9626467732718,2.25373838957781,1.88757437707234,2.18545539149461,-0.99505902159225,-1.1081398029048,-0.992415928411705,-0.754266188795573,-0.875974475791486,-0.752909626981188
"ASC_YK",1.26892445685219,1.25349704926824,1.23387308197744,1.2499569645921,1.24504074157458,1.21471554894491,2.15808520116986,2.1306206284685,2.15631912081395,2.81876461727599,2.78867976905427,2.81776759026073,1.97400382079199,1.70627989877618,1.85759462229553,2.6258876393966,2.32057875547698,2.49687877868026,2.29186234894026,2.27097177280326,2.28091005244183,2.95638603918772,2.92541435641002,2.94477535590013,3.70888496382784,3.65753072340355,3.66708898977752,3.67808986498651,3.62351225655784,3.63519600337022,3.7516690440247,3.60143996838601,3.70680079663447,3.71999443913404,3.56974830901336,3.67613941949882,3.45126658530868,3.38034322235122,3.44627711105874,3.41643917816746,3.34670574759532,3.41237945047408
"ASC_RY",2.63224937013741,2.46523299015441,2.51267528361058,2.9669687067005,2.79527365210013,2.83982404543637,2.3066199899169,2.06804955965028,2.30165356273627,2.62637364388401,2.37998558400081,2.62339578351686,1.04480218698398,0.69112616060193,0.720989692857213,1.35578302460517,0.956884788950664,1.00178334489172,1.87361369433776,1.6536058646996,1.77916642429728,2.19633952434474,1.96072677273609,2.10345091529301,3.26766099472373,3.0503908111099,3.12675492812219,3.4130559979577,3.18711210989581,3.27772378885221,2.06951164389335,2.03552075524454,1.9531166700089,2.21617728842726,2.19189059469404,2.10457571546082,2.26083275574195,2.17465364630947,2.23408920524591,2.40730527307394,2.32381157804436,2.38601342326386
"ASC_OC",-1.39094525323447,-1.65482305852403,-1.53982196847417,-1.81751587290689,-2.0603462001188,-1.96459896720574,0.18097027139597,-0.0645618159738457,0.176439351073231,0.232272515275942,-0.0244276719248852,0.22955483797224,-0.226556062068474,-0.556559219983845,-0.505890245054643,-0.184418666767731,-0.585720142277391,-0.501267011012015,0.635735713592217,0.45462954062378,0.55780873832972,0.691044448481043,0.491971947322146,0.613235518945306,0.985377268696828,0.795088842787053,0.869147115780516,0.33117974854337,0.128988024533421,0.219139025246176,0.382160998674103,0.353054110302137,0.265895901554937,-0.270639778438577,-0.293497482960533,-0.382709693803938,1.33531780411511,1.26150050812271,1.31123250727475,0.682708837801222,0.611585531463288,0.66394547156814
"B_DIST",-0.09479002813615,0,-0.0637276390896723,-0.09492755032395,0,-0.0616853379888847,-0.0665362163379494,0,-0.0655844094370184,-0.067675680940988,0,-0.0671113566954969,-0.174628036388445,0,-0.107805201826738,-0.172325915958766,0,-0.108445974752155,-0.0753720415923568,0,-0.0607451880009132,-0.077492400586706,0,-0.0636087232253072,-0.0544387650751195,0,-0.0254035642039331,-0.0582371959506568,0,-0.0302336827287955,-0.101776280759039,0,-0.075288532528558,-0.10088062689788,0,-0.0757159713198646,-0.0750560679378583,0,-0.0691142752224293,-0.0729354431756272,0,-0.0682704243889847
"B_ACCESS",0,0.881157776360013,0.524661264782379,0,0.869709587047827,0.553834333091055,0,1.23153349391334,0.0352378678870809,0,1.27498128178575,0.0207325814177284,0,1.07764726127796,0.620699414217049,0,1.09483308007907,0.607962610755749,0,0.77349144107341,0.299934597410023,0,0.804167776760945,0.285332458101626,0,1.0624440132357,0.747380609443664,0,1.10253309343796,0.726178757746418,0,0.581292231971172,0.261017672022989,0,0.568947295143478,0.24923711200404,0,0.474885705736922,0.0811721682085429,0,0.452932459166127,0.0633123347753195
"LLHOOD",-365.41326637017,-367.583737644412,-358.13851970628,-329.210418752564,-329.083038108925,-322.24016390516,-10828.4603162667,-11260.0890237573,-10828.2676591727,-10431.5851570129,-10902.6406528873,-10431.5160716439,-3606.50037095065,-3688.48400114064,-3380.55468806591,-3446.50403113084,-3568.05453815086,-3235.37128161593,-1009.52978318934,-1038.46256555549,-1004.1809786344,-976.258968238505,-1011.14267412297,-971.372780206746,-877.630426986146,-871.949310559907,-869.038560612741,-879.355633534999,-875.387487795953,-871.253721220681,-1981.86956625437,-2029.92303061599,-1961.78868358046,-1997.25420240472,-2049.50681963777,-1978.29057510405,-347.50208016818,-356.118223496422,-347.349244676144,-341.3452000117,-349.839019890351,-341.251319474704
"MCF R2",0.0808843914919508,0.0754250548734661,0.0991823949364928,0.171944583827913,0.172264981439508,0.189476705989668,0.0733020934909436,0.0363633775573475,0.0733185810543139,0.107266606310324,0.0669537521162077,0.107272518625176,0.329134295210173,0.313884052539566,0.371163740434585,0.35889612696862,0.33628582385695,0.398170133966768,0.0759467405155776,0.0494636864278272,0.0808426637123314,0.106400527529064,0.0744704124772861,0.110873003777299,0.0286399635382226,0.0349278146532827,0.0381494283164735,0.0267305075249983,0.0311224452601125,0.0356976918876361,0.104396618241293,0.082681341958592,0.113471133909568,0.0974443281420885,0.0738314620400554,0.106013958066317,0.0492687607951504,0.0256958468728442,0.0496869035489077,0.0661133744963761,0.0428751254047316,0.0663702223380717
