Campus,Dist.0,Dist.1,Dist.2,Dist.3,Dist.4,Dist.5,Dist.6,Segment
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
1,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,3
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
2,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,1
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,6
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,4
0,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
3,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,5
3,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,2
3,1.454818,22.05094,20.33679,16.46289,10.64086,1.782347,2.602305,6
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,4
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,4
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,3
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
